review,date,stars,name,source,title
"Others have tried and failedA delivery from a restaurant costs $5. There is a huge list of restaurants, cafes and fast food. Menus are easy to navigate. You can track you order as it’s on it’s way to you. Deliveries arrive very quickly. All in all a great service.Show details",2018-02-05T08:21:25.000Z,5,Funkytownjane,productreview,Others have tried and failed
"cumin indian restaurant Smithfield SAExcellent process. food arrived on time. the driver was very polite. food was excellent.
will.certainly try other food suppliers through Uber eats App.Show details",2018-02-04T08:30:10.000Z,5,kadascorner,productreview,cumin indian restaurant Smithfield SA
"Very good company you can even save some $$$Food delivered quick all the time and also was sent a voucher you could try for $15.00 off
eats-johnp18795ue
Drivers are always friendly.Show details",2018-02-01T07:33:06.000Z,5,John,productreview,Very good company you can even save some $$$
I would love Uber eatsI am hungry at home not aloud to drive and it’s to far to walk to get food and Uber eats delivers to abu dhabi but not to the Redlands I find this very disappointingShow details,2017-12-04T13:40:06.000Z,5,Tdiz,productreview,I would love Uber eats
Scheduled orderFirst UberEATS order - missed two items I’d added to cart but My fault I didn’t pick that up. Didn’t automatically bring up a voucher when confirming and would have liked to be prompted. Delivery was early in the time range. Very happy with the service deliveredShow details,2017-11-30T11:00:07.000Z,5,Relle,productreview,Scheduled order
Good serviceGood service however if you are going to use bicycles you should advise the customer as the reason I use ubereats is cause it should be faster on a car.Show details,2017-11-21T09:18:28.000Z,5,Jacky,productreview,Good service
"Excellent, very happyI have used them twice so far. Excellent service by the drivers and the restaurants. So far so good, I'm quite surprised to see all the negative reviews. I have plenty of friends who use it and have had good experiences.
If i have a bad experience I will edit my review but so far can't complain.Show details",2017-11-03T01:30:30.000Z,5,Mitch,productreview,"Excellent, very happy"
"Great young chapI ordered mcdonalds and my address was for some reason wrong on app I contacted the delivery guy and he was fantastic he was prepared to come right out of he's way to drop my food off, couldn't of asked for more as he was on a bike legend in my eyes and such a nice guy went right out he's way above and beyond great customer service at its finest wish I got he's name to put in a good word about him. Thank you for not complaining and doing your job to a high standard if any one could contact me from uber so I can get this guy noticed my email is mcflyin@live.co.uk as you have a top colleague right there even tipped him as it was highly deservedShow details",2017-10-05T00:22:47.000Z,5,Harry,productreview,Great young chap
This is a great optionUBEREats was a great experience and it is a great service. The guy was quite decent who handed me the food on the driveway. We've ordered multiple times and the food has been delivered promptly.Show details,2017-09-05T03:39:08.000Z,5,Mak H,productreview,This is a great option
"I maybe the lucky oneWe live in Kew East Melbourne. Have used this for more than 20 times. Never had any problem with the order, delivery and food quality.
Price wise, it is not cheap. The dishes are all marked up and delivery fee added, but it is really easy and it actually changes our dinner lifestyle quite a lot. Knowing that there is always a realiable backup plan when I dont want to cook.Show details",2017-09-02T03:05:07.000Z,5,Kelvin,productreview,I maybe the lucky one
"very satisfiedas someone who doesnt cook much, this is godsend. limited options still but good options nonetheless. happy with it so farShow details",2017-07-25T13:50:10.000Z,5,taz,productreview,very satisfied
"Top notch service, low delivery feeHave used it 5-6 times, great order tracking, cheap delivery charge.. the one time I got the wrong food it was refunded almost instantly no hassle.Show details",2017-07-15T02:16:52.000Z,5,Flinchy,productreview,"Top notch service, low delivery fee"
"HOT PASTA FUNGHI AND COLD CAPRESE SALADOrdered from Piccolo Pizza Fortitude Valley for the third time. Delicious, on time, hot (and cold), and I didn't have to leave home. Fabulous service thank you Uber!Show details",2017-05-23T09:40:18.000Z,5,Shelley Dark,productreview,HOT PASTA FUNGHI AND COLD CAPRESE SALAD
"First experience was perfectEasy, fast, good food from shops I already know (this time I ordered from Burger Urge) in Gold Coast
Same price buying at the shop. No delivery fee? That's a good deal.
It was delivered just a few minutes late (33 minutes instead of 26 from the time I clicked order), courteous lady driver with 4.9 star rating, she got off the car and walked up to the front door.
I could see her drive on the map, the app tells me who is the driver, the photo, the car and the rating.
So, when I read some of the bad reviews here and wonder why, food wise it... Read more",2017-02-21T08:23:56.000Z,5,Teddy,productreview,First experience was perfect
Amazing yummy food $10 discountTried UberEats and it was AWESOME! So much variety to choose from and juat charged to your account.Show details,2016-11-23T09:40:25.000Z,5,Kay,productreview,Amazing yummy food $10 discount
Best thing everI tried Uber eats for the first time the other day and I must say I was so so pleased with it all. Food was delivered in the estimated time. I followed the whole process on the app from confirmation of order to its arrival at my door. The food was hot and Mr Burger never fails to satisfy in every way. Will definitely be using this app again and am excited to tell everyone about it. Delivery fee was very reasonable and once order is placed you know exactly how much the total is including the driver.Show details,2016-11-06T03:05:43.000Z,5,sarzrmm86,productreview,Best thing ever
"Uber eats did eventually refund moneyI wanted to provide an update to this,
Initially Uber Eats made a delivery to my address and found that not all items had been delivered, while I complained about this I did not receive a refund and then subsequently did not use Uber Eats.
I appreciate that an organisation like this needs to do its due diligence as there are some untrustworthy people.
Uber eats did eventually refund me the money, though the issue still lays where if not all food is delivered then there are problems with contact.Show details",2023-08-25T03:55:08.000Z,4,Daniel38439,productreview,Uber eats did eventually refund money
"Good serviceAlthough the delivery fees and extra cost of buying food through uber eats than at the store. The food was delivered on time as estimate on the uber eats app. I usually order subway and has no problemShow details
Value for Money",2022-08-06T14:11:19.000Z,4,Hayman M.,productreview,Good service
"Reasonable Food Choice; Reasonable Delivery FeeSince COVID I've used Uber Eats a number of times to deliver meals. Overall, I've been quite happy with the service and my observations are:
1. Restaurant choice is good without being excessive. I've found there is a distance limit that can appear to be arbitrary. For example, I can order from Civic to my house, a distance of 6-7 kms; but not Woden which is 8 kms and still within what I consider a reasonable distance;
2. The drivers have been courteous and place the food outside. They also ring the doorbell; and
3. If you choose priority for a few dollars more, then your food is delivered as promptly as picking it up yourself.
I've had one or two items missed from the order early on, but this was rectified by the restaurant. Overall, I've been happy with the service and have used it several dozen times in the last six months. For the Canberra area, Uber Eats is a good service provided your restaurant is close by, you know what you are getting, and tick the important 'priority' box. I also tip, which goes to the driver, and that may help as well. The only thing that stops it getting five stars is the somewhat arbitrary distance limitation that seems determined by a compass rather than driving times. But definitely recommended.
Review your last purchase on ProductReview.com.au",2022-04-07T14:44:24.000Z,4,BanjoPaterson,productreview,Reasonable Food Choice; Reasonable Delivery Fee
"Terrible Customer Support (edited)Placed an order at 5:30pm to be told my order would arrive 7:00pm. At which point I cancelled my order and was still charged $27 of the $34 my meal cost me. Support chat with ""Guarav"" was abruptly ended when I complained about the poor customer service. Seems Door Dash will be getting my business
Edit: Uber Eats has refunded the $27 cancellation fee within a few short days which to me has rectified the issue. 1 star review updated to 4 stars. Overall I've had good experiences using Uber Eats. Still in desperate need of real-time customer support.",2022-04-07T08:43:10.000Z,4,Dean,productreview,Terrible Customer Support (edited)
"This is great and convenientI really enjoy uber eats! It is convenient, cheap in price and doesn't take long to receive an order. Also, good customer service an friendly delivery staff. Will definitely continue to use uber eats.",2021-03-10T07:12:02.000Z,4,kristen,productreview,This is great and convenient
"depends what restaurant you get food fromuber eats itself is a good company, always on time and making sure they’re as quick as possibly but sometimes they take a bit too long in getting the food from the restaurant meaning that i get my food cold. aside from that a lot of their drivers are very friendly.",2021-01-27T00:05:15.000Z,4,Chauntey,productreview,depends what restaurant you get food from
amazinguber eats is a great service the only down fall is uber registers my house all the way at the opposite end of my street not the best when someone can easily grab a feed and I'm out of pocket,2021-01-19T02:15:19.000Z,4,MrSSkidSCxnT,productreview,amazing
"Excellent ServiceUber Eats has a friendly user interface that is easy to use. They offers Punctual delivery, excellent food quality and delivery partners that are very accommodating to your needs. I’d highly recommend their services!",2020-12-15T02:10:03.000Z,4,Caysi,productreview,Excellent Service
"Very great food delivery app, but quite priceyThis app is great for getting something when you are hungry and they have great deals sometimes however most of the time it is quite pricey when it comes to the delivery cost. If you are a person who doesn't mind spending the extra money then its perfect for you but if you do then i wouldn't recommend it to you.",2020-11-24T00:41:26.000Z,4,Ubereats review,productreview,"Very great food delivery app, but quite pricey"
"i LOVE uber eatsi love uber eats but, i think that the drivers app goes performance could be MAJORLY improved, a lot of the time it’s just very slow and laggy but that’s all the bugs i’ve got to point out",2020-11-23T04:34:17.000Z,4,Drew S.,productreview,i LOVE uber eats
"Great Speed and EfficiencyI have often found myself wanting of food but have not the motivation to go and pick it up myself. I have found that UberEATS has, for the most part, been very quick and efficient in getting me the food I desire in a timely manner without me having to go get it myself!",2020-11-17T00:16:45.000Z,4,Brandon,productreview,Great Speed and Efficiency
this is perfecti chose Uber eat as it is realisable and cost efficient. i would recommend Uber eats to all my family and friends as it is a easy to use app that gets your food to you efficiently,2020-11-09T03:33:57.000Z,4,jojo,productreview,this is perfect
"Great delivery serviceI like to enjoy my food at home . So, I go for ubereats which has always got free delivery service. I can even use promo codes and it acutally works.",2020-10-08T14:10:28.000Z,4,Reman P.,productreview,Great delivery service
"Good deliveryThe delivery went smoothly, there were no issues they gave everything there were no orders missing they even had the sauces. It even came earlier than expected. I expected nothing less.",2020-08-17T06:42:38.000Z,4,Jordan,productreview,Good delivery
"Service Getting WorseUsually pretty reliable, unfortunately had 2 meals cancelled this weekend and still got charged for them. Was refunded for one, still waiting for the other. Both drivers lied and said they contacted me, but never received a call or an SMS. Shameful! Disappointing!",2020-08-03T01:40:19.000Z,4,Chris,productreview,Service Getting Worse
Fast deliveryWhenever I order from UberEATS I always receive my order within the set time frame. I think that this a good delivery. When my food comes it is always hot which is a good.,2020-07-27T06:13:33.000Z,4,Rima,productreview,Fast delivery
Quick serviceThis is my first order and I can't complain as I can use $12 coupon for first time customer. The food was delivered quickly to my front door. Just wish they have lower fees.,2020-07-27T03:33:22.000Z,4,Aimee,productreview,Quick service
Not too badI ordered from a local subway and my order was postponed 3 times due to a busy time period? Semi understandable but I was left waiting for an hour. Uber contacted me while I was waiting and gave me 3 free deliveries! Amazing! My order came in and I was missing my drink... I put it through the app that I was missing an item and I was pretty much refunded in full! Loved their help!,2020-06-09T02:48:18.000Z,4,JEM,productreview,Not too bad
"Easy and convenientStuck in lockdown isolation, ordered food It came on time fresh hot and quickly,It has a great variety of restaurants you can order from and get delivered happy customer I will order again",2020-04-27T23:46:19.000Z,4,jaxispro,productreview,Easy and convenient
Getting us through lockdown!Good range of food and deliveries have arrived on time with drivers abiding by social distancing rules. Has really helped us to avoid going out too much and especially with the supermarket shelves quite bare!,2020-04-17T16:53:59.000Z,4,KHam,productreview,Getting us through lockdown!
"Simply deliveryI have used Uber eats for my first time and I have to say that was a good experience.
I was afraid that my food did not get delivered because I order my meal from a restaurant far from my home but it went all well.
Thanks Uber for that.",2019-07-01T00:28:16.000Z,4,Ital,productreview,Simply delivery
"Haven’t had any problemsI’ve been using this app for awhile now and haven’t had any problems, I always track the order and haven’t lost anything... yet. The only down side would be some menus don’t show all items and restaurant opening hours are sometimes off.",2019-03-22T23:23:38.000Z,4,Tegan,productreview,Haven’t had any problems
"Most times its perfect....most timesI am a disability support worker with an elderly client, I am on shift, I ordered Mc donalds for my client and not only was the time being pushed back constantly for ETA But the delivery driver (on bike) which is a horrible idea. He was late and went to the wrong address, was not helpful at all after telling me he was here which he clearly was not, then said (""I'm going"") I said OK what do I do? Client now has no dinner which has left her in an agitated state. he said call uber to figure it out. I rang uber and with the last of my $$$ in... Read more",2019-01-30T09:20:04.000Z,4,Not happy jan,productreview,Most times its perfect....most times
"Better than deliverooI have been ordering food online from many apps and of course I have had problems with all of them.
I have had problem with uberreat as well many time but their customer service is better than others. If something happens they refund you.
In deliveroo you won't even get refundShow details",2019-01-12T10:20:45.000Z,4,Rozi,productreview,Better than deliveroo
Pizza OrderI ordered pizza for the whole family and it turned up in a reasonable time and it was still warm enough. Can't really complain for the costShow details,2019-01-11T01:20:03.000Z,4,Mick D,productreview,Pizza Order
"Good ServiceWe ordered Thai with Uber Eats and thought the service is good for wheat it is, a cheap third party delivery serviceShow details",2019-01-10T00:40:21.000Z,4,Agnes P,productreview,Good Service
"Handy service and quick to apologise and refundWe ordered 3 family pizzas though UberEats. When they were delivered we opened the boxes within about 20 seconds and found an unholy mess. The boxes had been stood on their sides and all the pizzas were just a gluggy mess at the bottom of each box. We raced out to catch the driver but he had taken off at speed. He knew what he had done and that we would be trying to catch him before he left.
I rang the pizza bar and they requested a photo of the mess, which I provided straight away. They rang back and told me they had referred this to U... Read more",2019-01-08T14:49:50.000Z,4,geej,productreview,Handy service and quick to apologise and refund
Happy with deliveryI ordered thai and was happy that the food arrived in the estimated period of time and it was still hot. The driver was also friendly. I would order again using Uber eats!Show details,2018-07-30T06:20:11.000Z,4,Alicia,productreview,Happy with delivery
"Deliver fast, but lots of hidden chargesI have three critics. First, ubereats doesn't offer all the options that your selected restaurant actually has, Second, the prices are higher than what they actual restaurants offer. For instance, Bondi burgers from Oporto is $10 but it is $11 in ubereats. Ubereats charges you for delivery so they shouldn't charge you more for the actual food. The third issue is the GST, they add GST on top of all extras, more expra price for your foid and delivery. So it starts adding up. In average you end up with paying more than 30 percent compare to what y... Read more",2018-05-05T05:16:33.000Z,4,Hadi,productreview,"Deliver fast, but lots of hidden charges"
Excellent customer service but the app has issuesMost of the delivery drivers are great. The app has issues which can cause a headache sometimes but I always get a refund and on top of that some extra credit for my next order. The customer service is very good and fast to sort out issues with an order or driver. I like UberEats. The 5 dollar delivery charge is reasonable.Show details,2018-03-21T00:27:05.000Z,4,nothappyhuman,productreview,Excellent customer service but the app has issues
Excellent!So thankful I discovered ubereats! Dinner delivered at home to my 4 kiddies whilst hubby works late. Thanks guys !Show details,2017-12-20T10:49:24.000Z,4,Erin W,productreview,Excellent!
"So far its been okayIve ordered with them 2 times now and so far so good.
My 2nd order did arrive cold as it took them 17mins to find a driver so it just sat around but my experience with UberEats has been okay.Show details",2017-10-30T11:10:08.000Z,4,Phil S,productreview,So far its been okay
"Good service and few problemsAfter some reluctance, I finally caved and used UberEats due to some friends who had used it. So far, very few problems after about 20 orders; in fact, I've had more issues with official restaurant delivery drivers than I have had with UberEats drivers. UberEats drivers haven't gotten lost yet, have almost always been super polite, and 19/20 times were on time and prompt.
The app itself can be a little dodgy with random crashes and optimistically promises that the order is 10 minutes away... and then 10 minutes later it's 15 minutes away... and sometimes the food isn't that great, but the drivers themselves have been great.Show details",2017-10-09T12:20:08.000Z,4,Disgruntled,productreview,Good service and few problems
"UberEats (Canberra): Good food and pretty quick!I've used UberEats (Canberra) 3 times so far (different restaurants), and it's gone well each time.
I enjoyed the food, found the drivers/people on bikes friendly, and the $5 delivery fee is reasonable. And most importantly, it arrived pretty quickly on all three occasions.
Some good vegan options on there considering it's only been up for a few months (though I'd appreciate even more vegan options, UberEats!)
It's true that the food wasn't piping hot all three times, but it was plenty warm for me. Also, one of the times (with Roleee Braddon), the time changed quite a bit (estimated 10 mins, then slowly added an extra couple of minutes) - but overall, it was still pretty quick.Show details",2017-10-03T10:17:59.000Z,4,Leaf,productreview,UberEats (Canberra): Good food and pretty quick!
"Partners & Providers to Uber EatsNo issues with the Driver food was early he phoned on arrival as was an office complex. Excellent service from Uber Eats only complaint is food could be kept hotter somehow. My issues was with the provider Yum Cha Garden City food was terrible, one work colleague is off work today with upset tummy. Not sure how this affects Uber Eats & who they deal with.Show details",2017-08-07T23:40:08.000Z,4,Robyn,productreview,Partners & Providers to Uber Eats
Concern about SecurityA person I was seeing ordered Uber Eats with my bank card. I am concerned that he will use my card information to buy UBER food in the future. Can you please tell me if the information is stored on your system? Thank youShow details,2017-08-06T23:10:08.000Z,4,Bluey,productreview,Concern about Security
"Happy Inner West userI've ordered through UberEats (as well as Menulog, Foodora and Deliveroo) multiple times. I do find that Uber has a differentiated offering - more/different food options, and a wider footprint (others tend to be within a smaller radius). I've had one or two issues with food being slightly incorrect, but other than that, have found the drivers to be mostly (not always) courteous and food arriving super quick. Perhaps I'm having a different experience due to being in Inner West, but I've found the service to be pretty quick - e.g. food from Jasmi... Read more",2017-01-23T02:20:53.000Z,4,sydneyconsumer,productreview,Happy Inner West user
"Uber eats driver in the wrongI ordered our usual meal which took 35mins so then the driver rings my mobile and he says I am out the front of your address, my partner goes down no one is there so I ring the driver and ask where he is he says out the front like I told you!!
Then I go downstairs and ring him he still is not there at the front so 15mins pass and he finally shows then he goes on to say I was waiting at the front at no 31 and our address was next door which is what I told him so then I showed him this is where you were supposed to be pointing out our mailbox nu... Read more",2017-01-03T16:30:48.000Z,4,Diamond,productreview,Uber eats driver in the wrong
"Sydney CBD user. Happy both timesI am a Sydney CBD user. I ordered from two different restaurants which were next to each other first time it came separately which was annoying because I mentioned in the comments that I order from next door. But not too much of a big deal as I was able to track it with the app. Second time ordered from same 2 places and came together.
Both times it came pretty quick in about 20~30 min. I love the tracking app.
As suggested by other users, I would like more selection of restaurants. Also I wish I can contact the driver, the contact links to general uber number which was annoying.Show details",2016-10-31T04:36:27.000Z,4,aikobabi,productreview,Sydney CBD user. Happy both times
"Great idea but needs some improvementsIt's a great idea. I ordered the food using uber eats, there are not many restaurants listed, the food that i ordered was not good quality looks like a leftover but it is the fault of restaurant
Some improvements i would like to suggest
1) Time of Delivery option not available which is a must
2) Increase number of restaurants
3) Review of the restaurants so users will know which ones to chose
4) When voucher applied make the discount should be obviously visible, it was not sure whether it is applied or not until you check the credit card statement
5) Send an alert when driver arrives in the app instead of guessing and checking the maps continuously. (Map tracking of drivers is good)Show details",2016-10-26T00:00:07.000Z,4,dpk,productreview,Great idea but needs some improvements
