stars,cleaned_text,sentiment
1,"['wo', 'using', 'every', 'single', 'item', 'actually', 'expensive', 'advertised', 'restaurant', 'end', 'know', 'got', 'charged', 'service', 'fee', 'delivery', 'fee', 'chose', 'priority', 'service', 'even', 'disaster', 'delivery', 'person', 'went', 'wrong', 'way', 'meet', 'half', 'way', 'save', 'time', 'food', 'getting', 'cold', 'top', 'meal', 'missing', 'end', 'go', 'food', 'want', 'something', 'done', 'right', 'better']",negative
1,"['overpriced', 'misleading', 'app', 'got', 'email', 'said', 'get', 'welcome', 'back', 'decided', 'clicked', 'email', 'link', 'opened', 'app', 'took', 'restaraunts', 'accepted', 'offer', 'get', 'checkout', 'discount', 'apply', 'spent', 'minute', 'trying', 'find', 'way', 'apply', 'discount', 'option', 'following', 'incorrect', 'cold', 'unacceptable', 'died', 'corpse', 'delivers', 'disappointment']",negative
1,"['restaurant', 'failed', 'deliver', 'part', 'would', 'send', 'missing', 'item', 'ubereats', 'refund', 'cost', 'item', 'percentage', 'took', 'leaf', 'half', 'dinner', 'way', 'anything', 'ca', 'even', 'give', 'place', 'bad', 'rating', 'deserves', 'good', 'enough', 'people', 'spend', 'extra', 'money', 'restaurant', 'food', 'meal', 'evening', 'ruined', 'deliver', 'missing', 'item', 'charge', 'restaurant', 'redelivery']",negative
2,"['become', 'pointless', 'app', 'ever', 'almost', 'upside', 'anymore', 'price', 'used', 'reasonable', 'massive', 'markup', 'delivery', 'quick', 'efficient', 'become', 'incredibly', 'slow', 'used', 'amazing', 'special', 'allowed', 'affordable', 'longer', 'like', 'waiting', 'minute', 'fpr', 'food', 'pay', 'cold', 'pain', 'stakingly', 'give', 'instruction', 'get', 'app']",negative
3,"['update', 'bug', 'fixed', 'another', 'note', 'driver', 'stop', 'leaving', 'food', 'front', 'door', 'majority', 'front', 'door', 'open', 'outwards', 'meaning', 'food', 'get', 'ruined', 'ca', 'access', 'easily', 'blocking', 'door', 'ability', 'open', 'app', 'seems', 'bug', 'click', 'item', 'screen', 'go', 'blank', 'ca', 'food']",neutral
1,"['mysterious', 'disappearing', 'promotion', 'look', 'like', 'promotion', 'click', 'disappears', 'get', 'rejected', 'promotion', 'disappears', 'customer', 'service', 'obsessed', 'screenshots', 'disappeared', 'promotion', 'clearly', 'understand', 'concept', 'disappeared', 'used', 'function', 'offer', 'good', 'promotion', 'worth']",negative
1,"['total', 'scam', 'company', 'app', 'end', 'paying', 'double', 'triple', 'would', 'restaurant', 'directly', 'even', 'one', 'overpriced', 'delviery', 'item', 'missing', 'driver', 'ca', 'communicate', 'english', 'worst', 'offer', 'refund', 'missing', 'item', 'delivered', 'say', 'experience', 'multiple', 'people', 'talked', 'year', 'make', 'process', 'unbearable', 'give']",negative
2,"['good', 'app', 'poor', 'customer', 'service', 'able', 'speak', 'human', 'poor', 'grocery', 'delivery', 'half', 'available', 'got', 'charged', 'delivery', 'fee', 'one', 'item', 'one', 'unavailable', 'option', 'cancel', 'free', 'charge', 'fault', 'selling', 'item', 'available', 'one', 'customer', 'really', 'thinking', 'deleting', 'app', 'total', 'money', 'delivery', 'fee', 'option', 'talk', 'human', 'frustrating']",negative
1,"['sends', 'driver', 'wrong', 'street', 'worked', 'perfectly', 'year', 'take', 'driver', 'next', 'street', 'even', 'going', 'address', 'manually', 'moving', 'locationa', 'little', 'bit', 'saving', 'start', 'showing', 'correctly', 'stage', 'change', 'blue', 'dot', 'actual', 'location', 'right', 'place', 'tired', 'walk', 'find', 'food', 'sitting', 'someone', 'el', 'driveway', 'provided', 'feedback', 'app']",negative
1,"['price', 'crazy', 'high', 'tried', 'cancel', 'second', 'placing', 'wanted', 'charge', 'guarantee', 'started', 'yet', 'time', 'estimate', 'make', 'sense', 'seen', 'driver', 'late', 'delivered', 'say', 'early', 'expects', 'leave', 'tip', 'sometimes', 'even', 'door', 'say', 'minute', 'away', 'support', 'understand', 'issue', 'notification', 'dropped', 'disappears', 'strange', 'fix']",negative
4,"['suggestion', 'bug', 'fix', 'irritating', 'bug', 'app', 'randomly', 'go', 'back', 'main', 'screen', 'matter', 'like', 'browsing', 'restaurant', 'placing', 'least', 'year', 'list', 'million', 'favorite', 'would', 'helpful', 'able', 'make', 'list', 'breakfast', 'dinner', 'etc', 'among', 'favorite', 'certain', 'restaurant', 'get', 'every', 'day', 'reason', 'even', 'adding', 'back', 'appear', 'faves']",positive
1,"['got', 'stuck', 'feedback', 'loop', 'one', 'guy', 'picked', 'food', 'never', 'dropped', 'instead', 'kept', 'getting', 'passed', 'different', 'driver', 'got', 'update', 'whatsoever', 'could', 'even', 'get', 'contact', 'actual', 'customer', 'support', 'tried', 'cancel', 'attempted', 'charge', 'even', 'though', 'least', 'minute', 'past', 'latest', 'arrival', 'time', 'way', 'stopped', 'driver', 'cancelled', 'allowing', 'charged', 'something', 'control']",negative
1,"['terrible', 'customer', 'service', 'reached', 'assistance', 'account', 'stopped', 'receiving', 'promotion', 'promo', 'code', 'experienced', 'error', 'would', 'apply', 'sent', 'one', 'email', 'rest', 'request', 'ignored', 'according', 'term', 'condition', 'reserve', 'right', 'disable', 'promo', 'campaign', 'still', 'continue', 'app', 'customer', 'service', 'requested', 'full', 'refund', 'membership', 'fee', 'received', 'response', 'bad']",negative
1,"['uberone', 'user', 'app', 'suck', 'put', 'simply', 'charge', 'resraurant', 'profit', 'meanwhile', 'also', 'marking', 'price', 'app', 'delivery', 'free', 'even', 'subscriber', 'want', 'food', 'delivered', 'among', 'seemingly', 'random', 'succession', 'plan', 'adding', 'least', 'every', 'want', 'delivered', 'directly', 'used', 'standard', 'feature', 'recent', 'took', 'hour', 'time', 'able', 'contact', 'support', 'already', 'arrived', 'luke', 'warm']",negative
1,"['wish', 'post', 'picture', 'see', 'much', 'charge', 'meal', 'fee', 'nothing', 'delivery', 'additional', 'absolutely', 'way', 'going', 'able', 'tip', 'delivery', 'guy', 'amount', 'fee', 'charging', 'stop', 'using', 'app', 'absolutely', 'tip', 'anymore', 'get', 'tip', 'charging', 'service', 'everybody', 'feel', 'way', 'tip', 'let', 'tip']",negative
1,"['user', 'easy', 'use', 'useful', 'issue', 'item', 'missing', 'restaurant', 'following', 'mean', 'food', 'go', 'waste', 'along', 'money', 'honestly', 'annoyed', 'change', 'time', 'go', 'support', 'want', 'hear', 'brush', 'saying', 'nothing', 'done']",negative
1,"['previously', 'left', 'review', 'got', 'rid', 'lower', 'score', 'change', 'refund', 'policy', 'recent', 'month', 'simply', 'put', 'pay', 'service', 'service', 'incorrectly', 'provided', 'form', 'missing', 'incorrect', 'old', 'cold', 'item', 'want', 'refund', 'want', 'runaround', 'restaurant', 'fault', 'moving', 'delivery', 'service', 'actually', 'pretend', 'care']",negative
1,"['one', 'almost', 'year', 'started', 'getting', 'message', 'longer', 'use', 'coupon', 'send', 'show', 'app', 'breached', 'term', 'condition', 'however', 'tell', 'one', 'already', 'read', 'still', 'find', 'answer', 'customer', 'service', 'honestly', 'really', 'bad', 'actually', 'matter']",negative
3,"['definitely', 'recommend', 'doordash', 'lot', 'good', 'deal', 'know', 'resturaunts', 'look', 'however', 'wish', 'one', 'subscription', 'applies', 'restaurant', 'select', 'rather', 'exoensive', 'side', 'example', 'cost', 'almost', 'around', 'thing', 'mcdonalds', 'digress', 'end', 'day', 'still', 'good', 'app', 'ca', 'go', 'weather', 'right', 'hungry', 'ect']",neutral
1,"['promotion', 'may', 'apply', 'shop', 'followed', 'link', 'sent', 'sprout', 'came', 'around', 'get', 'missing', 'item', 'got', 'charged', 'refunded', 'original', 'amount', 'charged', 'higher', 'amount', 'without', 'consent', 'beware', 'fix', 'promotion', 'issue', 'even', 'fault', 'member', 'one', 'use', 'app', 'update', 'said', 'end', 'fix']",negative
3,"['delivery', 'great', 'major', 'issue', 'area', 'lately', 'however', 'received', 'notice', 'credit', 'late', 'delivery', 'removed', 'one', 'understand', 'could', 'go', 'pick', 'paying', 'service', 'time', 'compensation', 'late', 'another', 'side', 'effect', 'inflation']",neutral
1,"['love', 'deal', 'uberone', 'member', 'incredibly', 'frustrated', 'past', 'month', 'purchasing', 'uberone', 'store', 'free', 'delivery', 'charging', 'delivery', 'customer', 'service', 'told', 'issue', 'account', 'bumped', 'tech', 'team', 'retroactively', 'contact', 'customer', 'service', 'get', 'delivery', 'fee', 'refunded', 'today', 'told', 'many', 'refund', 'ca', 'refund', 'fault', 'mine']",negative
2,"['wanted', 'view', 'total', 'price', 'went', 'page', 'showed', 'saw', 'price', 'like', 'hell', 'force', 'without', 'option', 'cancel', 'without', 'fully', 'consenting', 'least', 'door', 'dash', 'get', 'see', 'total', 'going', 'beforehand', 'yes', 'going', 'compare', 'price', 'apps', 'ffs', 'sneaky', 'tactic', 'grab', 'extra', 'money', 'people', 'hiding', 'pricing', 'last', 'ordering']",negative
1,"['star', 'service', 'still', 'delivery', 'driver', 'call', 'leave', 'food', 'outside', 'stolen', 'get', 'cold', 'always', 'issue', 'period', 'make', 'worse', 'vague', 'unclear', 'help', 'suppet', 'feature', 'everytime', 'new', 'issue', 'seems', 'help', 'option', 'limited', 'harder', 'navigate', 'cancel', 'uninstall', 'worthless', 'app']",negative
1,"['last', 'year', 'lot', 'mistake', 'food', 'delivery', 'gave', 'app', 'another', 'chance', 'getting', 'problem', 'enough', 'spent', 'food', 'messed', 'reimburse', 'worth', 'anymore', 'done', 'prefer', 'cooking', 'home', 'pick', 'food', 'fun', 'time', 'go']",negative
1,"['started', 'good', 'ruined', 'every', 'single', 'time', 'something', 'maybe', 'minute', 'away', 'carrier', 'get', 'sent', 'another', 'mean', 'food', 'get', 'cold', 'spends', 'double', 'time', 'route', 'clearly', 'setting', 'app', 'suck', 'usually', 'sends', 'carrier', 'far', 'away', 'location', 'something', 'route', 'total', 'detour', 'food', 'always', 'cold', 'appetizing']",negative
1,"['done', 'ordering', 'app', 'every', 'time', 'missing', 'item', 'allow', 'refund', 'go', 'mcdonald', 'get', 'missing', 'item', 'one', 'time', 'gave', 'discount', 'item', 'almost', 'like', 'never', 'discount', 'instead', 'item', 'even', 'though', 'like', 'discount']",negative
1,"['insufficient', 'fund', 'transfered', 'required', 'money', 'still', 'perpetually', 'stuck', 'claiming', 'insufficient', 'fund', 'double', 'amount', 'available', 'uninstalled', 'reinstalled', 'still', 'jammed', 'devs', 'overlook', 'flaw', 'basic', 'fundamental', 'must', 'want', 'money', 'wonder', 'boss', 'think', 'way', 'contact', 'either', 'unless', 'already', 'paid', 'go', 'menulog', 'menulog', 'hassle', 'also', 'immediate', 'way', 'contact', 'unlike', 'ubers', 'shady', 'practice']",negative
2,"['lot', 'extra', 'fee', 'driver', 'ca', 'follow', 'instruction', 'people', 'delivering', 'food', 'one', 'shown', 'picture', 'huge', 'security', 'risk', 'something', 'go', 'wrong', 'email', 'wait', 'response', 'one', 'saving', 'hoax', 'still', 'add', 'extra', 'fee', 'longer', 'worth', 'use', 'much', 'cheaper', 'restaurant', 'pick', 'stopped', 'lazy', 'time']",negative
2,"['reciepts', 'clearly', 'show', 'total', 'amount', 'item', 'within', 'multiple', 'combo', 'show', 'item', 'included', 'one', 'combo', 'show', 'item', 'way', 'make', 'seem', 'part', 'combo', 'hard', 'time', 'trying', 'quickly', 'prove', 'driver', 'something', 'missing']",negative
1,"['placed', 'subway', 'sandwich', 'location', 'le', 'mile', 'house', 'waited', 'hour', 'continued', 'say', 'pending', 'indication', 'delivery', 'driver', 'coming', 'option', 'cancel', 'app', 'canceling', 'emailed', 'would', 'still', 'charged', 'chat', 'telephone', 'option', 'help', 'either', 'refunding', 'still', 'getting']",negative
1,"['pay', 'much', 'money', 'food', 'considering', 'tip', 'delivery', 'fee', 'paying', 'additional', 'tip', 'make', 'sense', 'directly', 'restaurant', 'pay', 'cash', 'tip', 'without', 'ridiculous', 'additional', 'fee', 'expensive', 'worth', 'time', 'pay', 'food', 'app', 'also', 'rip', 'around']",negative
3,"['expensive', 'paying', 'least', 'like', 'mote', 'buck', 'bought', 'actual', 'restaurant', 'one', 'save', 'money', 'much', 'offer', 'refund', 'missing', 'item', 'surprisingly', 'havnt', 'many', 'problem', 'function', 'dont', 'like', 'fact', 'place', 'inconsistent', 'menu', 'listed', 'make', 'buying', 'food', 'slightly', 'annoying', 'hey', 'price', 'convenience', 'biggest', 'issue', 'simply', 'top', 'fee', 'even', 'one']",neutral
1,"['given', 'estimated', 'delivery', 'time', 'minute', 'multiple', 'delay', 'could', 'get', 'contact', 'delivery', 'person', 'hour', 'trying', 'get', 'customer', 'service', 'canceled', 'without', 'finding', 'another', 'driver', 'saying', 'customer', 'service', 'important', 'unfortunately', 'could', 'anything', 'since', 'canceled']",negative
1,"['steal', 'placed', 'back', 'wrong', 'going', 'refund', 'never', 'happened', 'top', 'took', 'money', 'tip', 'authorise', 'gave', 'tip', 'instead', 'took', 'plus', 'original', 'plus', 'another', 'customer', 'service', 'anything', 'besides', 'give', 'automated', 'message', 'horrible', 'service']",negative
1,"['one', 'offer', 'promotion', 'app', 'fails', 'redeem', 'worst', 'offense', 'already', 'redeemed', 'promotion', 'placed', 'canceled', 'promotion', 'could', 'applied', 'checkout', 'everything', 'looked', 'good', 'hit', 'submit', 'left', 'find', 'min', 'later', 'placed', 'due', 'error', 'msg']",negative
1,"['worse', 'delivery', 'app', 'service', 'ever', 'coming', 'someone', 'used', 'year', 'despite', 'multiple', 'issue', 'help', 'ever', 'receive', 'automated', 'response', 'even', 'read', 'message', 'address', 'closing', 'delivery', 'estimate', 'always', 'wrong', 'usually', 'adjusted', 'actually', 'en', 'route', 'overpriced', 'le', 'reliable', 'compared', 'apps', 'huge', 'emphasis', 'horrible', 'customer', 'support', 'experience', 'bad', 'completely', 'deleted', 'account', 'app']",negative
1,"['roughly', 'place', 'near', 'one', 'cut', 'delivery', 'fee', 'single', 'one', 'overly', 'expensive', 'delivery', 'fee', 'including', 'extra', 'service', 'fee', 'driver', 'get', 'tax', 'driver', 'tip', 'included', 'pay', 'subscription', 'let', 'alone', 'use', 'app', 'none', 'place', 'near', 'even', 'get', 'delivery', 'fee', 'waived', 'service', 'fee', 'hike', 'price', 'get']",negative
1,"['rare', 'give', 'one', 'star', 'review', 'think', 'impossible', 'contact', 'customer', 'support', 'simply', 'non', 'existent', 'try', 'hide', 'contact', 'support', 'even', 'manage', 'get', 'touch', 'robot', 'answer', 'question', 'based', 'copy', 'paste', 'message', 'cancelled', 'last', 'minute', 'explanation', 'compensation', 'ordering', 'competitor']",negative
1,"['many', 'unreliable', 'driver', 'way', 'properly', 'get', 'help', 'cancelling', 'meal', 'picked', 'driver', 'cancel', 'waited', 'hour', 'paid', 'priority', 'delivery', 'watch', 'driver', 'drive', 'completely', 'different', 'area', 'city', 'extending', 'delivery', 'time', 'making', 'delivery', 'automated', 'customer', 'service', 'help', 'something', 'missing', 'get', 'credit', 'refund']",negative
2,"['super', 'expensive', 'honestly', 'want', 'know', 'fee', 'actually', 'go', 'also', 'noticed', 'go', 'store', 'food', 'price', 'cheaper', 'charging', 'arm', 'leg', 'fee', 'sure', 'also', 'hiking', 'price', 'food', 'delivery', 'service', 'convenient', 'feel', 'never', 'paying', 'meal']",negative
1,"['app', 'work', 'great', 'service', 'dropped', 'huge', 'amount', 'since', 'started', 'using', 'hidden', 'fee', 'ridiculous', 'leading', 'outrageous', 'price', 'service', 'suck', 'bad', 'unacceptable', 'lately', 'almost', 'every', 'time', 'either', 'missing', 'item', 'delivery', 'taking', 'longer', 'expected', 'upsetting', 'point', 'paying', 'high', 'price', 'drive', 'restaurant', 'pick', 'missing', 'delivery']",negative
3,"['part', 'great', 'app', 'easy', 'use', 'great', 'selection', 'food', 'choice', 'chose', 'however', 'come', 'total', 'pricing', 'everything', 'pretty', 'wild', 'price', 'everything', 'give', 'minimal', 'return', 'driver', 'keeping', 'big', 'portion', 'price', 'wo', 'let', 'tip', 'half', 'total', 'price', 'complete', 'b', 'another', 'money', 'hungry', 'greed', 'mongering', 'company']",neutral
2,"['ease', 'use', 'ok', 'ca', 'see', 'restaurant', 'favourited', 'easily', 'ca', 'find', 'easily', 'go', 'wrong', 'easy', 'resolve', 'also', 'many', 'driver', 'phone', 'actually', 'work', 'ca', 'call', 'drop', 'right', 'place', 'really', 'painful', 'waited', 'hour', 'food', 'sometimes']",negative
1,"['service', 'app', 'way', 'reach', 'call', 'someone', 'address', 'issue', 'coupon', 'app', 'said', 'invalid', 'whereas', 'never', 'used', 'purchased', 'tried', 'reaching', 'service', 'rep', 'chat', 'none', 'gave', 'help', 'needed', 'finally', 'last', 'one', 'said', 'someone', 'would', 'reach', 'mail', 'since', 'resolve', 'online', 'nobody', 'reached', 'bad', 'service']",negative
1,"['terrible', 'ai', 'customer', 'service', 'general', 'yet', 'great', 'service', 'delivery', 'driver', 'far', 'restaurant', 'store', 'replace', 'missing', 'item', 'inform', 'accept', 'even', 'left', 'item', 'charge', 'new', 'without', 'refund', 'primitive', 'ai', 'app', 'made', 'theives', 'charged', 'bottle', 'tonic', 'logic', 'whatsoever', 'call', 'bank', 'report', 'delete', 'account', 'still']",negative
1,"['okay', 'experience', 'far', 'apart', 'sometimes', 'paying', 'faster', 'delivery', 'end', 'still', 'taking', 'forever', 'two', 'week', 'ago', 'grocery', 'worth', 'almost', 'euro', 'got', 'even', 'half', 'immediately', 'took', 'picture', 'expected', 'ubereat', 'refund', 'deliver', 'missing', 'item', 'give', 'contact', 'shop', 'get', 'told', 'able', 'refund', 'happened', 'friend', 'bolt', 'market', 'glovo', 'recommendable']",negative
1,"['wo', 'take', 'card', 'keep', 'getting', 'random', 'fraudulent', 'charge', 'got', 'new', 'card', 'change', 'account', 'number', 'yet', 'still', 'charge', 'whether', 'monthly', 'charge', 'big', 'come', 'called', 'guy', 'dont', 'nothing', 'fix', 'problem', 'problem', 'recently', 'stress', 'pending', 'charge', 'even', 'mine']",negative
1,"['bad', 'business', 'husband', 'kept', 'getting', 'promo', 'code', 'first', 'email', 'downloaded', 'app', 'used', 'first', 'time', 'ever', 'using', 'go', 'say', 'calculated', 'promo', 'code', 'end', 'still', 'said', 'pay', 'full', 'amount', 'wanted', 'cancel', 'right', 'try', 'try', 'charge', 'u', 'cancel', 'thank', 'go', 'back', 'door', 'dash']",negative
1,"['horrible', 'incredibly', 'disappointing', 'customer', 'service', 'always', 'delivering', 'late', 'even', 'priority', 'delivery', 'payed', 'would', 'think', 'big', 'company', 'would', 'better', 'try', 'contact', 'make', 'talk', 'chat', 'bot', 'hour', 'help', 'course', 'never', 'reimbursement', 'even', 'ask', 'cancellation', 'charge', 'hour', 'late']",negative
1,"['hi', 'getting', 'email', 'promotional', 'code', 'code', 'added', 'account', 'clicking', 'shop', 'tab', 'showing', 'restaurant', 'minute', 'away', 'able', 'place', 'due', 'ongoing', 'issue', 'happening', 'almost', 'month', 'seem', 'get', 'sorted', 'tried', 'uninstalling', 'app', 'reinstalling', 'issue', 'still', 'exists', 'help', 'please']",negative
1,"['platform', 'bug', 'led', 'initiation', 'wrong', 'two', 'month', 'dozen', 'message', 'sent', 'support', 'acknowledged', 'bug', 'wo', 'anything', 'fix', 'neither', 'reimburse', 'wrong', 'canceled', 'initiated', 'end', 'word', 'purposefully', 'knowingly', 'keeping', 'loophole', 'application', 'make', 'pay', 'false', 'note', 'uberone', 'membership', 'help', 'get', 'issue', 'resolved', 'faster']",negative
2,"['ui', 'good', 'however', 'app', 'keep', 'directing', 'nearly', 'block', 'away', 'work', 'warehouse', 'park', 'tried', 'multiple', 'approach', 'try', 'get', 'right', 'success', 'entering', 'address', 'make', 'seem', 'correct', 'gps', 'direction', 'given', 'driver', 'wrong', 'also', 'wish', 'replacement', 'wrong', 'option', 'refund']",negative
1,"['constant', 'problem', 'app', 'notification', 'never', 'go', 'want', 'always', 'reloads', 'starting', 'page', 'manually', 'navigate', 'back', 'notification', 'supposed', 'take', 'especially', 'annoying', 'attempting', 'rate', 'help', 'utterly', 'useless', 'fix', 'nothing', 'keep', 'deleting', 'home', 'address', 'way', 'fix', 'everyone', 'get', 'lost', 'delivering', 'support', 'number', 'call', 'also', 'ca', 'unsubscribe', 'one', 'hid', 'option']",negative
3,"['mostly', 'good', 'app', 'good', 'choice', 'restaurant', 'choose', 'however', 'personal', 'account', 'business', 'account', 'used', 'pay', 'alot', 'money', 'month', 'taxi', 'many', 'problem', 'account', 'could', 'even', 'speak', 'someone', 'telephone', 'communication', 'via', 'email', 'often', 'wait', 'till', 'next', 'day', 'reply', 'stuck', 'somewhere', 'problem', 'account', 'could', 'get', 'home']",neutral
1,"['used', 'service', 'decided', 'open', 'app', 'see', 'could', 'get', 'price', 'insane', 'charging', 'ton', 'random', 'fee', 'make', 'sense', 'also', 'raising', 'price', 'food', 'item', 'much', 'higher', 'cost', 'restaurant', 'came', 'tip', 'ridiculous', 'better', 'ordering', 'delivery', 'directly', 'restaurant', 'pay', 'delivery', 'tip', 'driving']",negative
3,"['app', 'issue', 'far', 'gps', 'go', 'mainly', 'getting', 'driver', 'address', 'live', 'unique', 'environment', 'refund', 'customer', 'complaint', 'compartmentalized', 'often', 'ignored', 'allow', 'double', 'restaurant', 'would', 'want', 'inflation', 'menu', 'item', 'high', 'tip', 'also', 'pushed', 'hard']",neutral
1,"['food', 'restaurant', 'issue', 'payment', 'still', 'processed', 'without', 'paying', 'looked', 'way', 'pay', 'could', 'find', 'delivery', 'time', 'kept', 'increasing', 'delivered', 'increased', 'hour', 'hope', 'payment', 'issue', 'canceled', 'go', 'later', 'served', 'processing', 'fee', 'cad', 'payment', 'issue', 'gone', 'ahead', 'never']",negative
1,"['possible', 'pick', 'food', 'choose', 'delivery', 'want', 'one', 'subscription', 'charge', 'delivery', 'fee', 'service', 'fee', 'actually', 'charge', 'customer', 'extra', 'money', 'providing', 'delivery', 'service', 'food', 'whole', 'idea', 'behind', 'app', 'smh', 'food', 'either', 'delivered', 'pick', 'refuse', 'subscription', 'purposely', 'overcharge', 'real', 'breakdown', 'get', 'service', 'charge', 'money']",negative
1,"['absolutely', 'horrible', 'placed', 'first', 'like', 'delivery', 'time', 'kept', 'pushed', 'back', 'upon', 'going', 'cancel', 'option', 'charged', 'fee', 'fee', 'fee', 'never', 'use', 'recommend', 'anyone', 'sticking', 'skip', 'thanks', 'would', 'give', 'star', 'possible']",negative
1,"['loving', 'app', 'got', 'one', 'since', 'nothing', 'problem', 'keep', 'getting', 'promos', 'sent', 'via', 'email', 'try', 'claim', 'app', 'wo', 'work', 'support', 'tell', 'place', 'reach', 'back', 'refund', 'way', 'take', 'almost', 'hour', 'support', 'liking', 'pulling', 'teeth', 'get', 'refund', 'promo', 'amount', 'often', 'give', 'credit', 'instead', 'use', 'app', 'save', 'time', 'waste', 'time']",negative
1,"['never', 'used', 'app', 'created', 'account', 'gave', 'first', 'voucher', 'careful', 'even', 'checkout', 'euro', 'promo', 'seemed', 'apply', 'app', 'took', 'money', 'account', 'without', 'using', 'voucher', 'according', 'every', 'rule', 'contacted', 'right', 'responded', 'hour', 'later', 'saying', 'account', 'suspicious', 'something', 'according', 'term', 'basically', 'excuse', 'pay', 'promo', 'deleted', 'account']",negative
1,"['placed', 'food', 'app', 'showed', 'food', 'picked', 'driver', 'block', 'away', 'sudden', 'got', 'notification', 'canceled', 'called', 'restaurant', 'confirmed', 'food', 'picked', 'called', 'ubereats', 'said', 'driver', 'claimed', 'route', 'issue', 'ubereats', 'refunded', 'money', 'experience', 'waiting', 'food', 'arrive', 'canceled', 'sucked', 'tried', 'leave', 'review', 'driver', 'given', 'option']",negative
1,"['deleting', 'switching', 'competitor', 'priority', 'made', 'driver', 'got', 'cancelled', 'cancel', 'ca', 'finally', 'got', 'delivered', 'cold', 'unsafe', 'eat', 'restaurant', 'already', 'made', 'tip', 'priority', 'would', 'cancel', 'tip', 'driver', 'ended', 'delivering', 'deserve', 'also', 'delivered', 'wrong', 'thing', 'three', 'occasion', 'sent', 'proof', 'never', 'refunded']",negative
