review,date,stars,name
I highly won't recommend and reconsider using this add there's frauds without reimbursement or refunded your money after cancelation from your orders on Uber Eats DISGUSTING CUSTOMER SERVICE SUPPORT IS USELESS PEOPLE! I highly recommend SKIP THE DISHES instead of these s.o.b's. From the way you'll be treated and steal your money without help to get your order in place.Tip for consumers:Need to fire the people whom in charge of the uber eats supportive help line for customer service support since they lied and fraud artist refusing reimbursementProducts used:Uber eatsMcdonaldsA@wServiceValueShippingReturnsQuality,"January 13th, 2024",1,Matthew J.
On 8/20/23 I ordered $122.56 of food from Crosshaven Winn Dixie. The Uber eats driver stole my order because it had steaks and condoms things people want. He marked it delivered. Uber said they would refund it. They never did. When asked why they said I had a restriction for complaining about messed up orders. I will not use Uber eat or Uber rides after this poor customer service and corporate thieving.Tip for consumers:No refunds by Uber eats $122.56 stolen from my familyProducts used:No food deliveryServiceValueShippingReturnsQuality,"August 31st, 2023",1,Bigpoppy S.
"The absolute worst delivery service ever! I contacted the actual provider and they advised me that since Uber collected the money I had to go through them for the refund. Of course, Uber declined the refund. I'm irritated by both companies. The food delivered was undercooked and tossed in the garbage. Uber just says... no they can't offer a refund. Really? I will never use them again and I recommend you stay away too unless you want to flush your money down the toilet! Try Grubhub or Door Dash... way better service! Grubhub will be my go-to from now on.","November 4th, 2020",1,TrinaMarie S.
"I wish I could give 0 stars. My food was ordered at 8:37; it was done around 8:50. The store is 10 minutes away. I got my food at 9:25 because the driver had several stops. My food was cold and soggy, but they can't refund me. Their service is horrible! The only reason I didn't add a picture is that I took the image on the Uber site and sent it to them, and by that time, I threw the food out.ServiceValueQuality","October 25th, 2023",1,Joshlyn C.
"Instead of delivering our lunch the driver telephoned to shout at us and tell us he'd put it in the bin. All complaints are met with automated replies and 'bots. If you telephone, a 'bot answers and tells you you're not important enough to bother answering the phone to. If you tweet, a bot promises to look into it and asks for a DM which is answered similarly abysmally by another 'bot. I'm going to take them to the Small Claims Court and expect they will send K9 to defend their case. Just avoid these parasites altogether.Tip for consumers:Just don't use Uber Eats. Have a look at their twitter feed - it's screeds and screeds of stories just like this. They're simply thieves, liars and parasites.Products used:None. Nothing was ever delivered.","July 21st, 2021",1,Martin B.
Uber Eats Sri Lanka has very poor horible customer service. They are robbing customer packages that were paid by customer but not delivered. They cancel the order by not giving a refund or allowing the customer to collect it later on wherever it has been kept. They are very irresponsible and no contact number even. Only system generated replies for the cases opened.Products used:Food,"December 29th, 2023",1,Kaushani W.
"I order alot from uber eats, they are horrible! I receive gift cards is the only reason i still use them. They will refund or credit you once or twice for legit messed up orders then refuse to fix something their own driver can verify. I paid $4.79 for a drink i did not get and almost $9 for an egg sandwich that had no egg today. This has happened before because i honestly have the worst luck. I have never tried to scam them but boy have they got me me lots of times. As soon as my giftcard is gone I will never use them again.","September 28th, 2023",1,Angela G.
"Prices are overpriced... I paid 9 something without tip for a drink! The drink is 4 bucks plus uber eats charges two additional fees... thats bull $#*!. Also, I ordered a protein cookie and it wasnt instock... the least ubereats could do is exhange for a different flavor. Nope, the driver is lazy.","September 16th, 2021",1,JOHN V.
"My order always comes 2 hours after I order, plus many times the food is cold or the containers are broken. Horrible service!","August 19th, 2023",1,Ranjna B.
"Had a few issues with cancellations of orders without any notice. Most recent one happened when I tried to check and see what was taking so long. Didn't get an answer, just cancelled my order. Tried to contact customer service and no help, no compensation for the lost time, nothing. They did tell me they wouldn't charge me for the cancelled order which was funny since if they did that would be robbery.Anyway, don't use this service. There's better options out there.ServiceValueShippingReturnsQuality","August 13th, 2023",1,Geoff R.
"I order from a particular restaurant that only provides delivery through Uber eats. The restaurant is fine, it's Uber eats that sucks. Biggest gripe is customer service. Uber eats is another one of these companies that makes it virtually impossible to contact a real human being. I had a problem with their web interface randomly switching the language on their website. I tried to contact them to see if we could solve the problem. Not a chance. No contact email, no phone number, no nothing.Customer service is a big thing for me. If your company is not willing to provide me with some sort of contact method, then you don't need and won't get my money. PERIOD!Tip for consumers:Use them at your own risk.  If you have a problem, there is no one to contact.ServiceShipping","March 23rd, 2021",2,James H.
"I ordered 80 dollars of food, they dropped off the wrong name and food. I paid 80 and got 30 dollars of the wrong meal, with someone else's name on it. Irritated me so much I'll Never use Uber eats again...!","August 22nd, 2023",1,Chance D.
They have some type of limit for refunds. Which is unorthodox… the point of receiving a refund is because of something they did wrong. I received someone else order I sent picture proof and spoke to three different people and nobody helped me. They are just taking people money even when we had nothing to do with what the driver did wrong. Don't ever trust Uber eats. I won't even be using Uber period.Products used:DoordashServiceValueShippingReturnsQuality,"August 6th, 2023",1,Keziah C.
"I tried using Uber eats two times to get items from a Store not a restaurant.I want to warn others not to use the app to do that unless you want them to add on pre -authorization charges and keep the funds.Im not angry about a ""few"" dollars as on one order they charged 25.60 and the second one 18.96.They have no phone number to handle issues so after opening numerous chats,being told something different by each new representative I talked to it came down to being told this.We are sorry for your bad experience but the authorization holds were credited and you will have to contact your bank as to when they will return it to your account.I cannot call my bank because I used a prepay Visa card that also does not have a phone to call to resolve issues. BTW I use it for Uber rides with no issues and the hold comes off the same day.Lesson learned dont use it as they consider it good business practices to keep your funds and pass the responsibility of the issue on to your bank and end the chat with were sorry.Sorry will not get my 45.00 back when I live paycheck to paycheck and 10 and 12 days have passed since the completed orders.Negative starsTip for consumers:No not use anything but a credit card that you can have a chargeback done they refuse to credit the overcharge from an authorization hold.Products used:Not applicable. Used delivery service via Uber eats.","May 26th, 2023",1,Monica F.
The driver delivered food to our neighbor at 6:55 pm. We have witnesses saying that he drove a white van and knocked down our newly purchased professional basketball hoop then went on to deliver the food. We also have a video from our neighbor's house proving this recklessness. We have no note of apology nor was the basketball hoop put aside. It was blocking our driveway and nearly hit my car! Very irresponsible and dishonest driver. Our children are distraught and this is extremely upsetting. Please don't go with UberEats.Grubhub and Doordash are better as we use them all the time and have never encountered such a problem.,"April 10th, 2020",1,Kristine H.
Consistent bad quality food delivered. 6 months now all orders placed through uber eats has been like trash put together and delivered... I've deleted my account and will not continue to use this provider. They allow restaurants to send out bad quality and undercooked food to paying customers... shame on you uber! Vet your providers and hold them to a higher standard when it comes to human food consumptionServiceValueShippingReturnsQuality,"December 10th, 2023",1,Thomas B.
"Had an issue with the website freezing up/crashing, which resulted in a double order and double charge to my credit card. Uber eats would not do anything other than offer a $25 credit towards future orders. So I am out a $121 extra. I would avoid using this company and try doordash Instead Uber Eats literally doesn't care about their customers.Tip for consumers:I tried emailing their corporate officers and reaching out through LinkedIn. Nobody would reply except the horrible customer service who does nothingProducts used:I gave the extra food away so it wouldn't go to waste.ServiceValueShippingReturnsQuality","January 9th, 2024",1,Travis S.
"RIPPED OFF and NO Recourse! Absolute Goat-Rope. Yet another business hiding behind COVID-19 for poor customer service. I was overcharged for my order, but have yet to receive a refund. I ordered and paid for two pizzas, but only got one. On top of that, the delivery arrived 35 minutes after the time UberEATS' ‘estimated' time of delivery. To make matters worse, there is ZERO customer support. No call center, no chat... nothing. If/when my refund hits, that App is going in the garbage where it belongs.Tip for consumers:Although DoorDash’s isn’t a gold standard service, its customer service is markedly better than UberEATS. During the instances in which there’ve been discrepancies in charges, DoorDash has done a much better job of responding to them and issuing refunds in a far more timely manner. In addition, DoorDash’s estimated times of delivery are much more accurate than Uber’s. I get the impression UberEATS just doesn’t care. They get their payment and they’re done with you. Well, I’m done, too. BEWARE.ServiceValueReturnsQuality","January 28th, 2021",1,John S.
"This is not my first issue with Uber Eats, but it us my last. The order was all wrong missing strawberry shake, 6 pack of cinnamon rolls, straw, napkins. Sandwiches were wrong and trying to complain in the Uber Eats app it said order wasn't eligible for refund. When I order something and it doesn't show up, or isn't the way it was ordered I want you to make it right, I spent 60.00 to get messed over. Will never use Uber Eats again. Pictures attachedTip for consumers:This is not my first issue with Uber Eats, but it us my last. The order was all wrong missing strawberry shake, 6 pack of cinnamon rolls, straw, napkins. Sandwiches were wrong and trying to complain in the Uber Eats app it said order wasn't eligible for refund. When I order something and it doesn't show up, or isn't the way it was ordered I want you to make it right, I spent 60.00 to get messed over. Will never use Uber Eats again. Pictures attachedProducts used:FoodServiceValueShippingReturnsQuality","October 16th, 2023",1,Howard C.
"Company filled with ThievesThey Are absolutely uselessMy order was never delivered but i was still charged for it, Tembo the driver didn't even try to make contact i called their Call Centre and spoke to the manger Hamad Who also has no customer experience what so ever, he said i should wait 24 hours for a response its been 3 days now and every time i call he is either unavailable or not inDisgusting Customer Service basically stealing from your customers","August 4th, 2020",1,James n.
"I ordered medicine from local walgreens for my sick child. I have no car and in a state I'm not originally from. Ordering was easy...10 min before the delivery was due the driver canceled my order... no explanation, and for any reason the driver can cancel. I literally had three items on order.So I wasted almost an hour waiting for medicine that would never come. Contacted customer service and their resolution was to give the driver a bad rating. NOT RELIABLE","September 18th, 2023",1,Jaeda G.
I applied a code They sent to my email. Otherwise I would not have used it. The code was invalid they say but they sent the food anyway. I tried to cancel immediately. Literally seconds after send it and they would not allow it. I am single and I live alone and ended up paying over 70$ To get some Popeyes chicken. I cannot believe I was stupid enough to think they would honor their coupon based on all these bad reviews. One of the worst companies I've ever done business with and I will be deleting the application immediately after this review.ServiceValueReturnsQuality,"February 13th, 2021",1,Wayne B.
"This was my first time using a food delivery app and tried Uber Eats in Milwaukee. Ordered Indian food from Cafe India. I was 9 minutes down the road. The driver took over an hour, delivered to the wrong address, and hung up on calls many times. Food was stolen as he left it at a gas station! The driver did not speak English and was very rude. NEVER would I use or recommend Uber Eats. Just a horrible experience of lies and incompetence!ServiceValueShippingReturns","October 10th, 2023",1,jeff g.
"Horrible service, scamming company and drivers! The driver pretended to not to hear me over the phone, went to a completely different street and neighbourhood then completed with a charge. Uber eats, scammers as they are, won't refund the grocery shopping! I will never order with them again and I will tell anyone I can to stir clear of this fraudulent company!Tip for consumers:Uber eats is a scam company that should be avoided at all costs!Products used:None were serviced to meServiceValueShippingQuality","November 29th, 2023",1,Karine S.
"Normally I'm ok using the app to contact customer service, but not when I have an issue that requires immediate assistance. Not offering a phone support line is cheap, unethical, and very lazy on Uber's part (there is a number if you search the net wide... and I mean wide, but it's an answering service that instructs you to use the app then hangs up on you). Email - no reply also. Crucial components of my order were missing. Not sure if I'll be getting a refund, hours later still waiting to hear back from their not so helpful app ""support"". Very UNenjoyable meals, lacking the very thing that makes them, and no way to get help on the spot when I needed it. Instead, left to source food elsewhere or eat substandard, full-priced meals, whilst feeling ripped off without suitable recourse.ServiceValueShippingReturnsQuality","August 12th, 2021",1,Jackie G.
I highly won't recommend and reconsider using this add there's frauds without reimbursement or refunded your money after cancelation from your orders on Uber Eats DISGUSTING CUSTOMER SERVICE SUPPORT IS USELESS PEOPLE! I highly recommend SKIP THE DISHES instead of these s.o.b's. From the way you'll be treated and steal your money without help to get your order in place.Tip for consumers:Need to fire the people whom in charge of the uber eats supportive help line for customer service support since they lied and fraud artist refusing reimbursementProducts used:Uber eatsMcdonaldsA@wServiceValueShippingReturnsQuality,"January 13th, 2024",1,Matthew J.
On 8/20/23 I ordered $122.56 of food from Crosshaven Winn Dixie. The Uber eats driver stole my order because it had steaks and condoms things people want. He marked it delivered. Uber said they would refund it. They never did. When asked why they said I had a restriction for complaining about messed up orders. I will not use Uber eat or Uber rides after this poor customer service and corporate thieving.Tip for consumers:No refunds by Uber eats $122.56 stolen from my familyProducts used:No food deliveryServiceValueShippingReturnsQuality,"August 31st, 2023",1,Bigpoppy S.
"The absolute worst delivery service ever! I contacted the actual provider and they advised me that since Uber collected the money I had to go through them for the refund. Of course, Uber declined the refund. I'm irritated by both companies. The food delivered was undercooked and tossed in the garbage. Uber just says... no they can't offer a refund. Really? I will never use them again and I recommend you stay away too unless you want to flush your money down the toilet! Try Grubhub or Door Dash... way better service! Grubhub will be my go-to from now on.","November 4th, 2020",1,TrinaMarie S.
"I wish I could give 0 stars. My food was ordered at 8:37; it was done around 8:50. The store is 10 minutes away. I got my food at 9:25 because the driver had several stops. My food was cold and soggy, but they can't refund me. Their service is horrible! The only reason I didn't add a picture is that I took the image on the Uber site and sent it to them, and by that time, I threw the food out.ServiceValueQuality","October 25th, 2023",1,Joshlyn C.
"Instead of delivering our lunch the driver telephoned to shout at us and tell us he'd put it in the bin. All complaints are met with automated replies and 'bots. If you telephone, a 'bot answers and tells you you're not important enough to bother answering the phone to. If you tweet, a bot promises to look into it and asks for a DM which is answered similarly abysmally by another 'bot. I'm going to take them to the Small Claims Court and expect they will send K9 to defend their case. Just avoid these parasites altogether.Tip for consumers:Just don't use Uber Eats. Have a look at their twitter feed - it's screeds and screeds of stories just like this. They're simply thieves, liars and parasites.Products used:None. Nothing was ever delivered.","July 21st, 2021",1,Martin B.
Uber Eats Sri Lanka has very poor horible customer service. They are robbing customer packages that were paid by customer but not delivered. They cancel the order by not giving a refund or allowing the customer to collect it later on wherever it has been kept. They are very irresponsible and no contact number even. Only system generated replies for the cases opened.Products used:Food,"December 29th, 2023",1,Kaushani W.
"I order alot from uber eats, they are horrible! I receive gift cards is the only reason i still use them. They will refund or credit you once or twice for legit messed up orders then refuse to fix something their own driver can verify. I paid $4.79 for a drink i did not get and almost $9 for an egg sandwich that had no egg today. This has happened before because i honestly have the worst luck. I have never tried to scam them but boy have they got me me lots of times. As soon as my giftcard is gone I will never use them again.","September 28th, 2023",1,Angela G.
"Prices are overpriced... I paid 9 something without tip for a drink! The drink is 4 bucks plus uber eats charges two additional fees... thats bull $#*!. Also, I ordered a protein cookie and it wasnt instock... the least ubereats could do is exhange for a different flavor. Nope, the driver is lazy.","September 16th, 2021",1,JOHN V.
"My order always comes 2 hours after I order, plus many times the food is cold or the containers are broken. Horrible service!","August 19th, 2023",1,Ranjna B.
"Had a few issues with cancellations of orders without any notice. Most recent one happened when I tried to check and see what was taking so long. Didn't get an answer, just cancelled my order. Tried to contact customer service and no help, no compensation for the lost time, nothing. They did tell me they wouldn't charge me for the cancelled order which was funny since if they did that would be robbery.Anyway, don't use this service. There's better options out there.ServiceValueShippingReturnsQuality","August 13th, 2023",1,Geoff R.
"I order from a particular restaurant that only provides delivery through Uber eats. The restaurant is fine, it's Uber eats that sucks. Biggest gripe is customer service. Uber eats is another one of these companies that makes it virtually impossible to contact a real human being. I had a problem with their web interface randomly switching the language on their website. I tried to contact them to see if we could solve the problem. Not a chance. No contact email, no phone number, no nothing.Customer service is a big thing for me. If your company is not willing to provide me with some sort of contact method, then you don't need and won't get my money. PERIOD!Tip for consumers:Use them at your own risk.  If you have a problem, there is no one to contact.ServiceShipping","March 23rd, 2021",2,James H.
"I ordered 80 dollars of food, they dropped off the wrong name and food. I paid 80 and got 30 dollars of the wrong meal, with someone else's name on it. Irritated me so much I'll Never use Uber eats again...!","August 22nd, 2023",1,Chance D.
They have some type of limit for refunds. Which is unorthodox… the point of receiving a refund is because of something they did wrong. I received someone else order I sent picture proof and spoke to three different people and nobody helped me. They are just taking people money even when we had nothing to do with what the driver did wrong. Don't ever trust Uber eats. I won't even be using Uber period.Products used:DoordashServiceValueShippingReturnsQuality,"August 6th, 2023",1,Keziah C.
"I tried using Uber eats two times to get items from a Store not a restaurant.I want to warn others not to use the app to do that unless you want them to add on pre -authorization charges and keep the funds.Im not angry about a ""few"" dollars as on one order they charged 25.60 and the second one 18.96.They have no phone number to handle issues so after opening numerous chats,being told something different by each new representative I talked to it came down to being told this.We are sorry for your bad experience but the authorization holds were credited and you will have to contact your bank as to when they will return it to your account.I cannot call my bank because I used a prepay Visa card that also does not have a phone to call to resolve issues. BTW I use it for Uber rides with no issues and the hold comes off the same day.Lesson learned dont use it as they consider it good business practices to keep your funds and pass the responsibility of the issue on to your bank and end the chat with were sorry.Sorry will not get my 45.00 back when I live paycheck to paycheck and 10 and 12 days have passed since the completed orders.Negative starsTip for consumers:No not use anything but a credit card that you can have a chargeback done they refuse to credit the overcharge from an authorization hold.Products used:Not applicable. Used delivery service via Uber eats.","May 26th, 2023",1,Monica F.
The driver delivered food to our neighbor at 6:55 pm. We have witnesses saying that he drove a white van and knocked down our newly purchased professional basketball hoop then went on to deliver the food. We also have a video from our neighbor's house proving this recklessness. We have no note of apology nor was the basketball hoop put aside. It was blocking our driveway and nearly hit my car! Very irresponsible and dishonest driver. Our children are distraught and this is extremely upsetting. Please don't go with UberEats.Grubhub and Doordash are better as we use them all the time and have never encountered such a problem.,"April 10th, 2020",1,Kristine H.
Consistent bad quality food delivered. 6 months now all orders placed through uber eats has been like trash put together and delivered... I've deleted my account and will not continue to use this provider. They allow restaurants to send out bad quality and undercooked food to paying customers... shame on you uber! Vet your providers and hold them to a higher standard when it comes to human food consumptionServiceValueShippingReturnsQuality,"December 10th, 2023",1,Thomas B.
"Had an issue with the website freezing up/crashing, which resulted in a double order and double charge to my credit card. Uber eats would not do anything other than offer a $25 credit towards future orders. So I am out a $121 extra. I would avoid using this company and try doordash Instead Uber Eats literally doesn't care about their customers.Tip for consumers:I tried emailing their corporate officers and reaching out through LinkedIn. Nobody would reply except the horrible customer service who does nothingProducts used:I gave the extra food away so it wouldn't go to waste.ServiceValueShippingReturnsQuality","January 9th, 2024",1,Travis S.
"RIPPED OFF and NO Recourse! Absolute Goat-Rope. Yet another business hiding behind COVID-19 for poor customer service. I was overcharged for my order, but have yet to receive a refund. I ordered and paid for two pizzas, but only got one. On top of that, the delivery arrived 35 minutes after the time UberEATS' ‘estimated' time of delivery. To make matters worse, there is ZERO customer support. No call center, no chat... nothing. If/when my refund hits, that App is going in the garbage where it belongs.Tip for consumers:Although DoorDash’s isn’t a gold standard service, its customer service is markedly better than UberEATS. During the instances in which there’ve been discrepancies in charges, DoorDash has done a much better job of responding to them and issuing refunds in a far more timely manner. In addition, DoorDash’s estimated times of delivery are much more accurate than Uber’s. I get the impression UberEATS just doesn’t care. They get their payment and they’re done with you. Well, I’m done, too. BEWARE.ServiceValueReturnsQuality","January 28th, 2021",1,John S.
"This is not my first issue with Uber Eats, but it us my last. The order was all wrong missing strawberry shake, 6 pack of cinnamon rolls, straw, napkins. Sandwiches were wrong and trying to complain in the Uber Eats app it said order wasn't eligible for refund. When I order something and it doesn't show up, or isn't the way it was ordered I want you to make it right, I spent 60.00 to get messed over. Will never use Uber Eats again. Pictures attachedTip for consumers:This is not my first issue with Uber Eats, but it us my last. The order was all wrong missing strawberry shake, 6 pack of cinnamon rolls, straw, napkins. Sandwiches were wrong and trying to complain in the Uber Eats app it said order wasn't eligible for refund. When I order something and it doesn't show up, or isn't the way it was ordered I want you to make it right, I spent 60.00 to get messed over. Will never use Uber Eats again. Pictures attachedProducts used:FoodServiceValueShippingReturnsQuality","October 16th, 2023",1,Howard C.
"Company filled with ThievesThey Are absolutely uselessMy order was never delivered but i was still charged for it, Tembo the driver didn't even try to make contact i called their Call Centre and spoke to the manger Hamad Who also has no customer experience what so ever, he said i should wait 24 hours for a response its been 3 days now and every time i call he is either unavailable or not inDisgusting Customer Service basically stealing from your customers","August 4th, 2020",1,James n.
"I ordered medicine from local walgreens for my sick child. I have no car and in a state I'm not originally from. Ordering was easy...10 min before the delivery was due the driver canceled my order... no explanation, and for any reason the driver can cancel. I literally had three items on order.So I wasted almost an hour waiting for medicine that would never come. Contacted customer service and their resolution was to give the driver a bad rating. NOT RELIABLE","September 18th, 2023",1,Jaeda G.
I applied a code They sent to my email. Otherwise I would not have used it. The code was invalid they say but they sent the food anyway. I tried to cancel immediately. Literally seconds after send it and they would not allow it. I am single and I live alone and ended up paying over 70$ To get some Popeyes chicken. I cannot believe I was stupid enough to think they would honor their coupon based on all these bad reviews. One of the worst companies I've ever done business with and I will be deleting the application immediately after this review.ServiceValueReturnsQuality,"February 13th, 2021",1,Wayne B.
"This was my first time using a food delivery app and tried Uber Eats in Milwaukee. Ordered Indian food from Cafe India. I was 9 minutes down the road. The driver took over an hour, delivered to the wrong address, and hung up on calls many times. Food was stolen as he left it at a gas station! The driver did not speak English and was very rude. NEVER would I use or recommend Uber Eats. Just a horrible experience of lies and incompetence!ServiceValueShippingReturns","October 10th, 2023",1,jeff g.
"Horrible service, scamming company and drivers! The driver pretended to not to hear me over the phone, went to a completely different street and neighbourhood then completed with a charge. Uber eats, scammers as they are, won't refund the grocery shopping! I will never order with them again and I will tell anyone I can to stir clear of this fraudulent company!Tip for consumers:Uber eats is a scam company that should be avoided at all costs!Products used:None were serviced to meServiceValueShippingQuality","November 29th, 2023",1,Karine S.
"Normally I'm ok using the app to contact customer service, but not when I have an issue that requires immediate assistance. Not offering a phone support line is cheap, unethical, and very lazy on Uber's part (there is a number if you search the net wide... and I mean wide, but it's an answering service that instructs you to use the app then hangs up on you). Email - no reply also. Crucial components of my order were missing. Not sure if I'll be getting a refund, hours later still waiting to hear back from their not so helpful app ""support"". Very UNenjoyable meals, lacking the very thing that makes them, and no way to get help on the spot when I needed it. Instead, left to source food elsewhere or eat substandard, full-priced meals, whilst feeling ripped off without suitable recourse.ServiceValueShippingReturnsQuality","August 12th, 2021",1,Jackie G.
I highly won't recommend and reconsider using this add there's frauds without reimbursement or refunded your money after cancelation from your orders on Uber Eats DISGUSTING CUSTOMER SERVICE SUPPORT IS USELESS PEOPLE! I highly recommend SKIP THE DISHES instead of these s.o.b's. From the way you'll be treated and steal your money without help to get your order in place.Tip for consumers:Need to fire the people whom in charge of the uber eats supportive help line for customer service support since they lied and fraud artist refusing reimbursementProducts used:Uber eatsMcdonaldsA@wServiceValueShippingReturnsQuality,"January 13th, 2024",1,Matthew J.
On 8/20/23 I ordered $122.56 of food from Crosshaven Winn Dixie. The Uber eats driver stole my order because it had steaks and condoms things people want. He marked it delivered. Uber said they would refund it. They never did. When asked why they said I had a restriction for complaining about messed up orders. I will not use Uber eat or Uber rides after this poor customer service and corporate thieving.Tip for consumers:No refunds by Uber eats $122.56 stolen from my familyProducts used:No food deliveryServiceValueShippingReturnsQuality,"August 31st, 2023",1,Bigpoppy S.
"The absolute worst delivery service ever! I contacted the actual provider and they advised me that since Uber collected the money I had to go through them for the refund. Of course, Uber declined the refund. I'm irritated by both companies. The food delivered was undercooked and tossed in the garbage. Uber just says... no they can't offer a refund. Really? I will never use them again and I recommend you stay away too unless you want to flush your money down the toilet! Try Grubhub or Door Dash... way better service! Grubhub will be my go-to from now on.","November 4th, 2020",1,TrinaMarie S.
"I wish I could give 0 stars. My food was ordered at 8:37; it was done around 8:50. The store is 10 minutes away. I got my food at 9:25 because the driver had several stops. My food was cold and soggy, but they can't refund me. Their service is horrible! The only reason I didn't add a picture is that I took the image on the Uber site and sent it to them, and by that time, I threw the food out.ServiceValueQuality","October 25th, 2023",1,Joshlyn C.
"Instead of delivering our lunch the driver telephoned to shout at us and tell us he'd put it in the bin. All complaints are met with automated replies and 'bots. If you telephone, a 'bot answers and tells you you're not important enough to bother answering the phone to. If you tweet, a bot promises to look into it and asks for a DM which is answered similarly abysmally by another 'bot. I'm going to take them to the Small Claims Court and expect they will send K9 to defend their case. Just avoid these parasites altogether.Tip for consumers:Just don't use Uber Eats. Have a look at their twitter feed - it's screeds and screeds of stories just like this. They're simply thieves, liars and parasites.Products used:None. Nothing was ever delivered.","July 21st, 2021",1,Martin B.
