review,name,state,stars,date,source
"I will NEVER EVER EVER order from Uber Eats EVER again.. Normally I only ever order from DoorDash which is already bad enough but at least they refund me when they mess up! My first time ordering off Uber Eats in a long time today & my food came super cold. I contacted support & they refused to give me a refund for the roll. This is RIDICULOUS. This is how y’all run a business? Yeah no wonder y’all are desperate for money. & y’all are gonna keep being desperate for money until y’all go out of business completely (: because that’s what happens when you treat paying customers like this. Disgusting. Do better. Or don’t, either way I won’t ever be ordering using Uber Eats ever again.",Sylvie,"Phoenix, AZ",1,"January 17, 2024",Consumer Affairs
"1 star because I have to leave one. I placed two orders on 01/13/2024. One for my father and one for myself. The delivery took forever to come and when it did, I sent my daughter to retrieve the meals. She only came back inside with one and that meal wasn’t mine nor my father’s. I only ordered the second meal because we were hungry and already waited a long time for this order to arrive and I know it was the driver's fault. Customer support is no help and they hung up on me. They kept sending automated messages saying I couldn’t be refunded. So, they’re making me pay for meals from the first order that I never received (the incorrect order received was thrown away), but wanna thank me for being a member for 9 years. I’ll never use this again and I’m deleting all my family members accounts as well!",Dani,"Tampa, FL",1,"January 17, 2024",Consumer Affairs
I guess Uber Eats isn’t making enough money. They told me that my order had been canceled so I resubmitted it. I ended up with two identical orders that came at once. It was cold out so I tipped $4 - he took 8. I reported the cancellation problem right away and they said tough and refused the refund even though I was in the 48 hour period. They were also rude. I’ve used the normal Uber since they started but am canceling my account. Imagine my surprise when I looked at reviews and saw they had done the exact same things to others. Double dipping.,Maria,"Pittsford, NY",1,"January 16, 2024",Consumer Affairs
"Ordered Chili's restaurant through Uber Eats. The 1st chilis I ordered from Glitch in their system because I was directed to a Chilis 10 miles away where as I’ve always order from the chilis near my house (2 miles away). Did not realize it was the wrong chilis until I looked at the tracking, called uber eats to tell them it was the wrong one and had to wait 1-1/2 hour. Thinking they were really busy, I told them my food would be cold and soggy when I get it, they said to call back if the food was cold and soggy which I did, I was told I would not get a refund whatsoever, even though this was completely their fault and the customer service girl acknowledged it was their fault. I’m out 35.00 dollars which I have to deal with. I’m on a budget. If I could give them a minus 10 stars I would.",Pam,"Orlando, FL",1,"January 15, 2024",Consumer Affairs
"I ordered food yesterday, and it took two hours for me to receive it. The app kept saying that the store was still preparing the food, yet I called the store, and the order had been prepared 10 minutes after it was received, and went back-and-forth with Support, begging them to bring my food because this has happened before and I just canceled my order but I really wanted the food. Finally, they gave me a five dollar credit that expired the next day. That is not acceptable and I am canceling my account with Uber Eats. They suck.",Tamoyia,"Philadelphia, PA",1,"January 15, 2024",Consumer Affairs
I made an order for KFC and did not receive all my items. Uber Eats was unwilling to refund me my money for these items as they said I was ineligible for a refund. Mind you I only downloaded the app for this specific order. Horrible!,Melanie,"Scranton, PA",1,"January 12, 2024",Consumer Affairs
"I didn’t see the delivery address until after I placed the order. Then I tried to update in the instructions. The driver called, so I tried to call back-three times-every time no answer. So I texted him the address that I wanted him to deliver to. I know he saw it because it said read. He claimed that he delivered the items. He did not. I called the store and he did not deliver them to the store that he said he did. I called Uber back, no answer. I went on the website and it said my order was canceled, and because of the 5 minute window there would be no refund. I am definitely disputing this transaction with my bank.",Lyra,"Grapevine, TX",1,"January 10, 2024",Consumer Affairs
"UberEats itself is a wonderful concept and great app, but their customer service is seriously lacking. I have placed several orders where several items have been missing, and when I call Uber Eats to report the missing food, the only response I have gotten was that I would be refunded for the items. That's great and all, but what do I do with the people who have nothing to eat because they didn't receive their order??? Why is it not in the policy to contact the restaurant and ask them to deliver the missing food items??? More",Grace,"Glen Head, NY",1,"January 10, 2024",Consumer Affairs
I experienced a website freezing up issue which resulted in a double order/Double charge. Uber Eats did not care and would only offer $25 Credit for future orders. They would do nothing about the extra $121.00 that I was out. Actually stated to be more careful when ordering! ZERO CUSTOMER SERVICE! BUYER BEWARE. I would recommend Door Dash instead!,Travis,"Monument, CO",1,"January 10, 2024",Consumer Affairs
"They twice deliver the wrong food and refused to credit me. Can you imagine having to pay for someone else’s food, service, fee, delivery fee and tip? That is the risk I took and I lost $32. It is the risk you are taking by using Uber Eats. Buyer beware. Now I have no lunch and have to dispute with my credit card (I know they will do a chargeback, as they should).",Jennifer,"Bethel, CT",1,"January 9, 2024",Consumer Affairs
I ordered $124 worth of food and didn’t get all of my order. Called customer service and was told that's my problem and there was nothing that could be done. It's the worst. I will never order again. They promote false advertising. If you're reading this stay away from Uber Eats.,Mashawn,"Rochester, NY",1,"January 8, 2024",Consumer Affairs
I cancelled an order within 3 minutes and picked it up in person and they would not refund me. I contacted support and they were rude and did not help and stated because the restaurant received the order they wouldn’t refund but it had not been 3 minutes.,jen,"Lincolnton, NC",1,"January 7, 2024",Consumer Affairs
This is the worst food delivery service ever. Never again will I buy through you. I hope whoever reads this heed my words. 77$ worth of food and I can’t ask for a refund after 3 hours. Please please shut the company down.,Latasha,"Columbus, OH",1,"January 6, 2024",Consumer Affairs
"Don't ever use Uber Eats, they'll just take your money. Ordered an add-on advertised as 0 extra fees. After check out it added $12.00 plus to a $ 6.00 order, so I quickly canceled. They're now charging me with a cancelation fee all from their false advertisement.",Nathan,"Chesterton, IN",1,"January 4, 2024",Consumer Affairs
"Called customer service 3 times, spending almost 3 hours to address my problem. Twice I was hung up on, after 30 minutes on and off hold. 3rd time I finally got some help... However they still screwed up my refunds to my checking account. I will not be using this service again, even though I have credits on my account. I placed the exact same order on Doordash, that night, and received my food in 25 minutes with no issues. Something needs to be done about your drivers.",Lisa,"Alpharetta, GA",1,"January 2, 2024",Consumer Affairs
"Called for my 3rd order from a restaurant ON the Uber eats app. Waited for an hour after the 3rd driver went to pick up my food. I was contacted by a driver who informed me the restaurant has been closed down for over 6 months and a Jimmy John's was now occupying the address. I called Uber eats to cancel my order and explain they were advertising a closed business. The representative told me I was ineligible for a refund and she was unable to a cancel my order, I asked to speak with a manager. She tells me she'll pencil me in and a manager would call me back in 48 hours, she also said she would send my account to some department, I asked her if she could transfer me to that department, she said no they didn't have phones. What? Finally a fourth driver called me and said he didn't have a problem cancelling my order my order was cancelled and my money was returned. More",Joey,"Thomasville, NC",1,"December 31, 2023",Consumer Affairs
"Placed an order for the first time I had a promo code, order was only 3$ (not bad). After I paid they charged another 5$. Why I asked they cancelled my order and charged me 2 dollars. Contact us was very generic and didn't resolve anything.",chris,"Caldwell, ID",1,"December 30, 2023",Consumer Affairs
I order the famous sourdough bacon cheeseburger which comes with two patties. My burger only had one patty plus my bread is thick and stale as well as my fries. I called UberEATS for a refund because my food is not edible and they told me that my order do not qualify for a refund. When I ask why I was told that they can not tell me why. If I could upload pictures on here I would. My solution is to delete the app and never use it again.,Tytianna,"Dallas, TX",1,"December 30, 2023",Consumer Affairs
No Uber drivers here in Hawley PA. Help!!! I'm disabled and live in a campground and don’t have a car right now and need Ubers! Why in the world would there be no drivers here? It's not that rural! This is crazy Uber!,Ryan,"Hawley, PA",1,"December 29, 2023",Consumer Affairs
"I sent proof from my bank that 3 charges were fraudulent, but Uber and Uber Eats won’t allow me to make any purchases until I pay the fraudulent charges. I tried 3x to explain that on different days with proof. I got nowhere. They are the worst customer service I have ever dealt with.",P,"Raleigh, NC",1,"December 29, 2023",Consumer Affairs
My order never arrived. Driver took picture of something pitch black. They said they couldn't refund my money so I paid for an order I never received. They never have a solution. They need to go out of business. They are a waste of your hard earned money 'cause if it's a problem you won't get anything back.,Rachel,"Beaumont, TX",1,"December 25, 2023",Consumer Affairs
I never received my food. Unsatisfied customer. I never will get a ride with them or food. No luck. Sorry not sorry. Terrible service was not good. Never again. I will not order again. This is unacceptable.,Eva,"Arlington, TX",1,"December 22, 2023",Consumer Affairs
"This is the second time that I have placed an order with Uber Eats, waited, received notification that food was delivered, and it never was. I then call the restaurant and they advise that a code was given, and food picked up. This is unprofessional and is fraud. You take the funds and promise a service that is not fulfilled. I had no apology when I call in and a very rude agents just says, ""What shall we do? It will be refunded."" Is this the way they have become successful?",Stacy,"Canoga Park, CA",1,"December 20, 2023",Consumer Affairs
"I ordered delivery from a local restaurant. I never received my order. I was charged almost $60 plus $4 tip for an order of mozzarella sticks and quesadillas that I never got. Despite several attempts I was never reimbursed. No customer service, no remorse. Someone enjoyed my hard eared cash with no repercussions!! Stop hiring people who are hungry enough to steal other people’s food. I want my money back!!",Jeannette,"Harrison, NJ",1,"December 19, 2023",Consumer Affairs
"I order Ramen through Uber Eats and uber eats charge me 3 times, I'll contact them, didn't resolve my problem, they didn't return my money and they are not allowed me to continue with the chat or starting another one with customer service. I sent a screen shot of my bank to them, and they didn't help.",Karla,"Hawthorne, CA",1,"December 18, 2023",Consumer Affairs
"Charged for a year and they won't let me log in and support on Twitter is useless. Tried to log in Multiple times and just can't log in. Get my code on my cell phone and email address and it won't verify either credit card, the one they charged me $48 for a whole year.",James,"San Juan, TX",1,"December 17, 2023",Consumer Affairs
"I don’t know if it’s the app itself that needs a bug fix or what but on multiple occasions, in the last few month alone, every time I order certain items(specifically frozen entrees) from a grocery store, the pictures don’t match the description so I end up getting the wrong items. I tried to explain this to customer service when I “report an issue” but nothing is ever done about it. The last time the service rep couldn’t seem to grasp what I was trying to explain to him and closed out the chat on me. Of course I was frustrated during the conversation but I made sure to not appear to be lashing out at him because I know it’s not his fault personally. The only reason I gave a 2star rating is because at least they promise to refund the money for the wrong items I received. At this point I am just over Uber Eats. I do not plan on using them again. Not worth the aggravation.",Shelby,"Toronto, Other",1,"December 17, 2023",Consumer Affairs
I placed an order with Uber eats. First the person that brought the food was not the person. I was supposed to have a guy named Sergio and it was a female. 2nd the package food came in was open and all food spilled leaked into the bag. 3rd the food was cold. 4 I was not able to eat my food due to fact all was literally in the bag. 5 No response whatsoever from Uber eats. It's amazing how this company seems to think this is ok. I will never use Uber eats again and I advise strongly no one else does.,Mindy,"Kansas City, MO",1,"December 15, 2023",Consumer Affairs
The customer service number is no use. There is no accountability and no one even pretends to care. I paid for items I didn't receive and was delivered cold food. I asked to be refunded for what I didn’t receive and was denied. I definitely learned not to use them ever again.,Shirley,"Jefferson City, MO",1,"December 14, 2023",Consumer Affairs
"Ordered food from Uber Eats to be delivered. They delivered someone else's order, and the driver took the wrong order with her and never came back. I have a text from Uber Eats apologizing for not delivering the food at all, but would return the cost of the food and delivery charges. They NEVER returned my money. A bunch of thieves! Do not use this company!",Frederick,"Lake Havasu City, AZ",1,"December 14, 2023",Consumer Affairs
Updated on 12/13/2023: I was charged 47 dollars for an order. They took out 68. They refuse to send me the difference. They are dishonest and people should stay away! I contacted them several times. I asked over 5 times to speak to a supervisor. I was told they weren't available. I was told they would call me back. They never did. Use them if you don't mind high fees and giving your money away. More,sheila,"Waleska, GA",1,"December 11, 2023",Consumer Affairs
"Uber Eats definitely has gone down in service quality. I'm finding more and more times having to cancel order simply because most of the people they hire now do not speak or understand how to read in English. They can't effectively do their job for lack of following simple instructions. Why isn't Uber doing a better job vetting their applicants for language barrier issues? Also, I'm noticing different people delivering my food than on app. Go figure.",Aaron,"La Jolla, CA",1,"December 9, 2023",Consumer Affairs
Never will I ever order from Uber Eats again. This is the second time I have tried to order and not only is it wrong but what did arrived was a sloppy mess. I have pictures. They asked me to send them and still said my order was not refundable or replaceable. I actually paid more to make a special order and still nothing. They are a joke. I will be using Doordash from now on.,Kelly,"Indianapolis, IN",1,"December 8, 2023",Consumer Affairs
"Placed an order with Corner Bakery. The driver took the order to the wrong address. I tried to communicate with the driver, but the drive did not speak English. Corner Bakery said to call Uber. Uber said they would not refund my order, or give me another order.",Benjamin,"Atlanta, GA",1,"November 30, 2023",Consumer Affairs
"Over and over again. Dozens of times various restaurants make many mistakes, wrong food, missing items, etc.. Uber Eats restricts customer who complain too often. Tonight, missing food again totaling over $20.00 US. Call Uber Eats, my account is restricted for too many previous refunds. I've made 100's of orders. The merchants fail, the product never delivers, and Uber Eats restricts the Consumer. They have very poor customer services. A class action lawsuit would be exactly what they need to pay back the consumers they RIP off. Make them pay millions $ back and they will listen. Now, they do what they want, charge you and they know you did not receive your food, verified by the restaurants, but REFUSE to pay back customers. What/Why has America allowed this type of Scams to continue in our Great Country. Garbage Company.",Michael,"Miami, FL",1,"November 30, 2023",Consumer Affairs
"I have been a loyal customer on UberEats for over 7 years. Today was the worst where my food was delivered in my neighborhood and not to me. When asked, they refuse to refund saying I was lying. Worst.",Vaishali,"Houston, TX",1,"November 30, 2023",Consumer Affairs
I ordered Uber Eats and received the wrong order from the restaurant. I sent pic and receipt. They absolutely refused to issue refund or credit my account! They are the absolute worst!! Numerous problems with them and customer service is a joke!,ANITA,"Oak Forest, IL",1,"November 29, 2023",Consumer Affairs
"Become a member they say. Save time and money they say. Then as a reward for customer loyalty the company refuses to address a concern regarding, and I quote, ""Your account is linked to 10 to 15 devices."" Which by the way is a violation of the user agreement. Kindly explain how the company cannot be concerned about a customer's account security when customer repeatedly states he/she utilizes ONLY ONE (1) device to connect to their account. Thanks for the half off a yearly membership but I have cancelled and deleted my account.",Cal,"Harrisburg, PA",1,"November 27, 2023",Consumer Affairs
"They literally left my three little boys and I with no food and no money for 36 hours. This company is a corrupt scam who is NOT even BBB accredited anymore because the reviews were so bad they couldn’t justify it. They will steal your money and leave your children hungry. There is absolutely no rhyme or reason to their arbitrary charges, they will send you completely wrong orders and then flag you for reporting it instead of holding their partners or employees acknowledge and they will literally cancel your order for no reason and instead of being honest and making it right, they will keep the money they take out of your account before you get what you order. They will literally leave you with no money and no food. More",Inspector,"Seattle, WA",1,"November 26, 2023",Consumer Affairs
"I ordered Mcdonald's and the driver gave us the wrong order. We were starving and it was late. The driver ended up giving us the wrong order so I called McDonalds. They said he went through the drive through and never said he was an Uber and our order was still sitting there. I called Uber Eats CS who refused to refund me because I called a year ago about a wrong order. I told them to call McDonalds and they could confirm everything and again they refused. So, instead of looking into why their drivers keep delivering the wrong food, they have instead decided to punish the customers. My money has been wasted and the food was wasted both at home and our order since it was still sitting there. Worst delivery company. WILL NEVER USE THEM AGAIN.",Christine,"Longmont, CO",1,"November 25, 2023",Consumer Affairs
"I recently had a frustrating experience with UberEats that I feel compelled to share. I placed an order for groceries, including 2 pieces of chicken, beef mince, and 2 pounds of beef. However, when my order arrived, I noticed that there was 1 pound of beef missing. Naturally, I contacted UberEats customer support to request a re-delivery of the missing item. To my dismay, the customer support representative informed me that they would not be able to provide a refund or any kind of compensation for the missing beef. This was incredibly frustrating, as I had paid for the full order and expected to receive it in its entirety. More",Navila,"Calgary, AB",1,"November 25, 2023",Consumer Affairs
"They never want to actually help you. They either keep you waiting for a customer service rep forever, and never connect you with anyone. Or they give you vague answers as to why you can't get a refund.",Melissa,"Modesto, CA",1,"November 25, 2023",Consumer Affairs
Ordered online via restaurant’s website and directed to Uber Eats. Confirmed delivery for 11/24. Order NEVER arrived but electronic receipt showed delivered to WRONG address. Uber Eats refused to issue refund & refused to allow me to speak to a supervisor. Kept saying driver tried to contact me via app. I DON’T have the app. Why didn’t they call!?! Driver knowingly delivered to wrong address!!,Ann,"Fort Wayne, IN",1,"November 24, 2023",Consumer Affairs
"So I place an order for Uber Eats, didn't think about they was close today for Thanksgiving... The driver Kenneth said he delivered the order but the store was closed today and Uber Eats stated that they can't give me my money back because the driver stated he delivered it. @Uber. HOLIDAY.",Courtney,"Montgomery, AL",1,"November 24, 2023",Consumer Affairs
"Uber Eats food delivery is a scam. Every order I get, there is an issue. Last evening I was missing items after my order arrived ice cold. I was refused refund, credit or redelivery. I was made to pay for items that I did not receive.",Kesha,"Zion, IL",1,"November 23, 2023",Consumer Affairs
Sent Spanish speaking driver. I don't speak Spanish. They tried calling but I didnt understand them. I didn't receive order. Then couldn't get refund. They said I had to many orders to refund me. They are a terrible run business.,Shauna,"Meridian, ID",1,"November 23, 2023",Consumer Affairs
"Uber allows those who order to change their tip amount after delivery, resulting in customers essentially baiting drivers with better paying trips and drastically reducing our expected pay after delivery.",Nicole,"Saint Louis, MO",1,"November 20, 2023",Consumer Affairs
It's obvious that the Uber Drivers live in Cancellations. The Driver (James) canceled my trip because I didn't get on the vehicle within 2 minutes. I am handicap and it takes me longer to get into the vehicle. There's no mercy!,Estela,"Hackensack, NJ",1,"November 20, 2023",Consumer Affairs
I placed an order with Uber eats. On Oct 2nd I was charged twice. I contacted support and was informed it was an authorization hold and I would receive the money back in my account within 10 business days. Well it’s Nov 20th and still haven’t received my money back. Customer service just gives you the run around and is no help at all. Please be careful ordering from Uber Eats.,B,"Bloomington, CA",1,"November 20, 2023",Consumer Affairs
"If zero stars or minus stars exist, I would give it to Uber Eats! You should think twice before you order on Uber Eats! Their support staff are terrible, They gave me a million and one excuse why they are not refunding me my money, when I showed them that one of my guest found a rusted nail in the food we order! They take no responsibilities and they don't care about their customers. Their customer service representatives are rude, unknowledgeable and they hardly read the messages I send! They just send a generated messages and all their replies sounds the same! Use any other delivery company cause this one is not worth your money!",Notleen,"North York, Other",1,"November 19, 2023",Consumer Affairs
"I will never order from Uber Eats again because they will not give you a refund even if it was the fault of their driver, I will be taking my business elsewhere. I have nothing else to say. They should be reported to the Better Business Bureau",Jocelyn,"Waldorf, MD",1,"November 18, 2023",Consumer Affairs
I ordered food so I can on break. The driver. Katrina pick up on the order but never actually picked up the order. I waited for 1 and half hour all to find out the place was closing up and I never received my food. So upset. She deserves 0 stars.,Karmen,"Melbourne, FL",1,"November 18, 2023",Consumer Affairs
"Go to Door Dash, at least you will get respect and better communication from the customer service. Uber Eats service sucks, they don't care about their customers, only taking our money and blames it on the delivery driver and instead of both parties are at fault on how customers are getting treated and don't want to owe you their mistake and wanted our feedback for what Uber Eats still a crappy service and still haven't improved ok anything and talking about Uber Eats is the way to go. lol",PATRON,"San Antonio, TX",1,"November 18, 2023",Consumer Affairs
"My co-worker had her order cancelled twice last week after seeing on the app that the food had already been picked up. 2 different days and 2 different places. The same thing happened to me this morning and when I called the restaurant, they said the Uber driver had already picked up my food. I contacted customer support and after going back and forth with a bot, a human agent was connected. I told him their driver stole my food and his response was ""to recap, we have not charged you for this order....""",Jennifer,"Houston, TX",1,"November 16, 2023",Consumer Affairs
"I made an order for sushi on my phone, and when I navigated ""Back"" while the order was processing, I received a message on the screen with a cutesy message to the effect of, ""You aren't a flake, you just have discerning tastebuds! All the food in this order has been removed."" This message + NOT receiving a receipt or a text message made me think my order was cancelled. I made a second order from a different restaurant. I received an email confirmation and a text confirmation. Sure enough, BOTH orders were delivered and I was charged for both. When I asked UberEats to reimburse me for the first order because it had been a glitch in their system (again, a cancellation message and no confirmation message), customer service told me that it was my mistake and ""to please review your orders in the future to make sure you want the food you order."" There are so many games in town. Stay away from Uber Eats.",James,"Pittsburgh, PA",1,"November 16, 2023",Consumer Affairs
"Orders were placed in Dominican Republic while I was in US. Account was obviously hacked. UE customer service said someone would call me, never did. I called again and they said someone would email me never did. Meanwhile my credit card was charged for numerous deliveries in DR. Complained in the APP as well and they could not see any charges although I supplied them with the charges from my credit card.",Judith,"Chicago, IL",1,"November 15, 2023",Consumer Affairs
"Terrible service, doesn't deserve one star. Owes me money yet again! And never answers when they do! If you want your money stolen, go with this. What a joke! This was written in 2023 Sept. Today, same thing! They steal your money and DO NOT HELP OUT CUSTOMERS! If you want your money gone, feel free. I'm choosing other apps that ACTUALLY help out the customer! Fraudulent behaviour overall!",M,"Toronto, Other",1,"November 14, 2023",Consumer Affairs
"I ordered food for my daughter’s 16th birthday and the driver took our food from Wing Stop then cancelled the order. I called Wing Stop and they said they can’t do anything. I would have to contact Uber Eats. I then realized that the driver called me, left a voice email saying to call them back and when I did it went to Uber Eats employee line and not the driver. This was a horrible experience because we had many kids to feed and now out of over $200 until the refund cleared in 3-5 business days. I’m furious and I will NEVER use Uber Eats again.",Jade,"Hampton, VA",1,"November 14, 2023",Consumer Affairs
Many many times where my order took over an hour and a half and I did not get compensated. I also purchased Uber One. Had it for a year. Made no difference. Such poor customer service because I have ordered from them on a daily basis. Kinda sucks I don’t get the service a paying customer deserves.,L,"Winnipeg, Other",1,"November 13, 2023",Consumer Affairs
I didn't receive my delivery order even though I was communicating with the delivery driver. She still delivered my order to wrong address. So I called customer service for a refund which they refunded immediately which was good. But then they informed me that they could not refund the tip I gave to the driver. I replied that I want my refund in full including the Tip I gave. Customer service replied that they could not refund the Tip because that went straight to the driver. I replied the driver does not deserve the Tip due her not delivering my food. They said they can't do anything about that but they would give me Uber Eats credit. I denied and requested a full refund. They refused. That's the reason ubereats is not worth the hassle. Poor customer service and a ripoff. Use favor or someone else. If something goes wrong they will not give you a full refund.,IGNACIO,"Austin, TX",1,"November 13, 2023",Consumer Affairs
"They have no customer service. You check all over the place, and there's no one to contact. They charge too many fees, and they couldn't care less about your experience. All-around, a disappointing experience. Also, restaurants are upcharging like crazy on these food delivery sites. Stay away unless you want to pay twice as much as in-restaurant prices.",Anthony,"Casselberry, FL",1,"November 13, 2023",Consumer Affairs
"I will honestly say, Uber Eats has been very convenient when you can't / don't want to cook, or if you need food delivered, and there's always a good selection of options to choose from. I noticed however Uber Eats has severely gone downhill as far as their customer experience. As much as I appreciate getting a refund for an incorrect order/wrong missing items/wrong delivery location, simply refunding the order is sometimes just a band-aid to shut the customer up and not get to the root of the problem. I CANNOT begin to state HOW MANY MISSING DELIVERIES I have had to get to the bottom of, and then when I call for Uber to connect me to the driver, the driver ***CANNOT SPEAK ENGLISH***. More",Sarah,"Lutz, FL",1,"November 10, 2023",Consumer Affairs
"I placed an order through Uber Eats. I received completely different order with someone's name. I contact the uber app and they instantly refunded 24. Where the total amount taken from my account 36.06. After 3 hour on multiple call with uber Philippines. They finally informed they will process the full amount. Am still waiting. Pls watch out your receipt right away. The receipt showed me 32 total with tips. But my account was credited 36. Uber eats standards have gone so low. They will do anything to keep a $ from you. Now that I reviewed all previous amounts, every amount is incorrect from what actually showed in their receipt, watch out. They are getting desperate to make any money possible. Terrible service.",Sunley,"Courtice, ON",1,"November 10, 2023",Consumer Affairs
"I placed an order for dinner through Uber and they charged an arm and a leg for their fees and services. Received an email that stated my delivery was canceled. Dinner was never delivered, yet I was charged over $55 for food and delivery, contacted Uber which refused to refund me, and stated they were glad I understand they wouldn't be able to do anything about it. SCAMMERS! SCAMMERS! SCAMMERS!",Kit,"Philadelphia, PA",1,"November 4, 2023",Consumer Affairs
"They keep charging my card for things I didn’t order. There is no one to handle these problems. Only a chat box which has no resolution. I am ready to sue Uber Eats for scamming customers, charging cards without authorization and no way to get your money back",helen,"Iowa City, IA",1,"November 4, 2023",Consumer Affairs
"1) Episode ONE. Uber unlawfully charged me on my credit card without my authorization. I have not used Uber on that particular day. I only authorized few cents for verification, but Uber used that authorization, unlawfully charged on my credit card. 2) Episode TWO. After making reservation, I canceled within 3 hours and 4 days before Uber ride reservation. Uber charged me on my credit card. Sent numerous email, but never received response and nobody answered the phone! Uber customer service is non exist!!! I had to contact credit card company for this issue. I have never accounted this kind of barbarous business practice in my life!",Mya,"Highland, CA",1,"November 3, 2023",Consumer Affairs
"I suspect Uber does fraudulent charges for one. Second, I had two orders canceled by the restaurant and uber still charged my account. I had to chase them for my refund the first time. I gave up with chasing Uber Eats for my 2nd refund because it was only $6-$11. I was told the money was never taken out of my account but I had proof that it was. I am deleting the app and have called the bank to block this merchant. Horrible service and again, in my opinion, they're committing fraud charges.",E,"Paramount, CA",1,"November 2, 2023",Consumer Affairs
"Uber eats owe me a refund. I read a review claiming customer service agents will hang up on you. When I mentioned ""refund"" I'll be dammed if they didn't hang up on me!!! I called them back and was refused a refund and then, ""click"" ...they hung up on me again. Never using their app/service ever again! Go DOOR DASH!",Richard,"Branson, MO",1,"November 2, 2023",Consumer Affairs
"I use to like this company, but they had to fire all good Ppl and hire IDIOTS! No they did not make my order wrong, but they also did not help me fix the situation. They continue to ignore my complaints.",Derrineisha,"Ty Ty, GA",1,"November 2, 2023",Consumer Affairs
